event,T0_tx_rise_s,T1_rx1_rise_s,T2_rx2_rise_s,T1-T0_us,T2-T0_us,T2-T1_us,RX1_gap_before_ms,RX2_gap_before_ms,status
1,35.798299710,35.805594690,35.805592560,7294.980,7292.850,2.130,,,ok
2,35.824094820,35.831384710,35.831382420,7289.890,7287.600,2.290,,,ok
3,35.849822940,35.857112780,35.857175660,7289.840,7352.720,62.880,,,ok
4,35.875595300,35.882885970,35.882884070,7290.670,7288.770,1.900,,,ok
5,35.901081280,35.908366290,35.908367390,7285.010,7286.110,1.100,,,ok
6,35.926840690,35.934126880,35.934131110,7286.190,7290.420,4.230,,,ok
7,35.952485260,35.959775380,35.959773740,7290.120,7288.480,1.640,,,ok
8,35.978271450,35.985557910,35.985557170,7286.460,7285.720,0.740,,,ok
9,36.003882650,36.011169250,36.011168100,7286.600,7285.450,1.150,,,ok
10,36.029470640,36.036758000,36.036758290,7287.360,7287.650,0.290,,,ok
11,36.055231190,36.062518990,36.062516590,7287.800,7285.400,2.400,,,ok
12,36.080957840,36.088247310,36.088246150,7289.470,7288.310,1.160,,,ok
13,36.106334410,36.113573670,36.113657680,7239.260,7323.270,84.010,,,ok
14,36.132092170,36.139378190,36.139377000,7286.020,7284.830,1.190,,,ok
15,36.155924000,36.163212430,36.163211210,7288.430,7287.210,1.220,,,ok
16,36.181622710,36.188910910,36.188909870,7288.200,7287.160,1.040,,,ok
17,36.207393350,36.214679230,36.214678150,7285.880,7284.800,1.080,,,ok
18,36.233107770,36.240397610,36.240394200,7289.840,7286.430,3.410,,,ok
19,36.257361810,36.264650300,36.264650230,7288.490,7288.420,0.070,,,ok
20,36.282932860,36.290219500,36.290223800,7286.640,7290.940,4.300,,,ok
21,36.308690600,36.315977840,36.315975620,7287.240,7285.020,2.220,,,ok
22,36.334551290,36.341836380,36.341840530,7285.090,7289.240,4.150,,,ok
23,36.360046490,36.367333620,36.367334060,7287.130,7287.570,0.440,,,ok
24,36.385757240,36.393041710,36.393046270,7284.470,7289.030,4.560,,,ok
25,36.411216960,36.418506550,36.418503330,7289.590,7286.370,3.220,,,ok
26,36.436875530,36.444164150,36.444163290,7288.620,7287.760,0.860,,,ok
27,36.462065470,36.469353350,36.469352510,7287.880,7287.040,0.840,,,ok
28,36.487793310,36.495081750,36.495080230,7288.440,7286.920,1.520,,,ok
29,36.513170400,36.520460030,36.520458740,7289.630,7288.340,1.290,,,ok
30,36.539463040,36.546748530,36.546750100,7285.490,7287.060,1.570,,,ok
31,36.564534190,36.571819100,36.571821420,7284.910,7287.230,2.320,,,ok
32,36.589033940,36.596317980,36.596319930,7284.040,7285.990,1.950,,,ok
33,36.614216320,36.621503760,36.621502380,7287.440,7286.060,1.380,,,ok
34,36.639131130,36.646417140,36.646415890,7286.010,7284.760,1.250,,,ok
35,36.664469430,36.671755540,36.671754350,7286.110,7284.920,1.190,,,ok
36,36.690164900,36.697453690,36.697453760,7288.790,7288.860,0.070,,,ok
37,36.715930820,36.723216090,36.723216950,7285.270,7286.130,0.860,,,ok
38,36.741132830,36.748420550,36.748420570,7287.720,7287.740,0.020,,,ok
39,36.766857060,36.774143310,36.774144080,7286.250,7287.020,0.770,,,ok
40,36.792614010,36.799902460,36.799901360,7288.450,7287.350,1.100,,,ok
41,36.818210250,36.825493380,36.825495740,7283.130,7285.490,2.360,,,ok
42,36.843969520,36.851215200,36.851258480,7245.680,7288.960,43.280,,,ok
43,36.867584080,36.874872710,36.874872820,7288.630,7288.740,0.110,,,ok
44,36.893158710,36.900446070,36.900446120,7287.360,7287.410,0.050,,,ok
45,36.918343260,36.925629510,36.925684760,7286.250,7341.500,55.250,,,ok
46,36.944016330,36.951302120,36.951303200,7285.790,7286.870,1.080,,,ok
