Time [s],Tx,Rx1,Rx2
0.000000000,0,0,0
1.806512800,1,0,0
1.813520450,0,0,0
1.813803710,0,1,0
1.813807030,0,1,1
1.813819840,0,0,1
1.813823240,0,0,0
1.823757080,1,0,0
1.830764340,0,0,0
1.831048140,0,0,1
1.831048710,0,1,1
1.831063560,0,1,0
1.831064350,0,0,0
1.844650820,1,0,0
1.851657250,0,0,0
1.851939500,0,0,1
1.851941980,0,1,1
1.851954730,0,1,0
1.851957250,0,0,0
1.864175520,1,0,0
1.871181800,0,0,0
1.871462880,0,0,1
1.871464030,0,1,1
1.871478190,0,1,0
1.871479490,0,0,0
1.884421230,1,0,0
1.891425740,0,0,0
1.891707520,0,1,0
1.891711080,0,1,1
1.891722660,0,0,1
1.891726340,0,0,0
1.904163180,1,0,0
1.911168920,0,0,0
1.911450940,0,1,0
1.911466250,0,0,0
1.911483830,0,0,1
1.911499040,0,0,0
1.924295460,1,0,0
1.931361220,0,0,0
1.931582880,0,0,1
1.931583010,0,1,1
1.931598060,0,1,0
1.931598140,0,0,0
1.944291200,1,0,0
1.951297080,0,0,0
1.951576110,0,0,1
1.951577600,0,1,1
1.951591340,0,1,0
1.951592770,0,0,0
1.964258060,1,0,0
1.971264340,0,0,0
1.971543550,0,1,0
1.971543840,0,1,1
1.971558650,0,0,1
1.971559110,0,0,0
1.984310960,1,0,0
1.991316950,0,0,0
1.991597910,0,1,0
1.991613050,0,0,0
1.991661660,0,0,1
1.991676810,0,0,0
2.004363570,1,0,0
2.011429420,0,0,0
2.011651480,0,0,1
2.011652730,0,1,1
2.011666580,0,1,0
2.011668020,0,0,0
2.024309730,1,0,0
2.031314490,0,0,0
2.031594010,0,0,1
2.031595280,0,1,1
2.031609190,0,1,0
2.031610480,0,0,0
2.044370550,1,0,0
2.051378950,0,0,0
2.051658300,0,0,1
2.051659450,0,1,1
2.051673490,0,1,0
2.051674590,0,0,0
2.064269350,1,0,0
2.071275250,0,0,0
2.071556740,0,0,1
2.071557730,0,1,1
2.071571950,0,1,0
2.071572910,0,0,0
2.084389130,1,0,0
2.091395010,0,0,0
2.091675110,0,1,0
2.091675210,0,1,1
2.091690260,0,0,1
2.091690560,0,0,0
2.104199420,1,0,0
2.111205750,0,0,0
2.111484510,0,1,0
2.111487520,0,1,1
2.111499760,0,0,1
2.111502790,0,0,0
2.123395640,1,0,0
2.130401670,0,0,0
2.130682820,0,1,0
2.130689590,0,1,1
2.130698110,0,0,1
2.130704800,0,0,0
2.144535670,1,0,0
2.151541450,0,0,0
2.151819370,0,0,1
2.151821280,0,1,1
2.151834550,0,1,0
2.151836510,0,0,0
2.164356950,1,0,0
2.171362500,0,0,0
2.171642430,0,0,1
2.171643600,0,1,1
2.171657720,0,1,0
2.171658820,0,0,0
2.184407690,1,0,0
2.191412400,0,0,0
2.191693080,0,1,0
2.191697150,0,1,1
2.191708210,0,0,1
2.191712250,0,0,0
2.204324590,1,0,0
2.211330810,0,0,0
2.211610300,0,1,0
2.211610420,0,1,1
2.211625550,0,0,1
2.211625670,0,0,0
2.224306720,1,0,0
2.231312610,0,0,0
2.231592850,0,0,1
2.231593930,0,1,1
2.231608090,0,1,0
2.231609140,0,0,0
2.244298860,1,0,0
2.251304700,0,0,0
2.251587480,0,0,1
2.251588150,0,1,1
2.251602640,0,1,0
2.251603230,0,0,0
2.264300380,1,0,0
2.271306350,0,0,0
2.271585560,0,0,1
2.271586490,0,1,1
2.271600770,0,1,0
2.271601670,0,0,0
2.284303160,1,0,0
2.291309110,0,0,0
2.291588980,0,0,1
2.291589740,0,1,1
2.291604190,0,1,0
2.291604970,0,0,0
2.304256860,1,0,0
2.311262680,0,0,0
2.311541800,0,0,1
2.311543040,0,1,1
2.311557030,0,1,0
2.311558310,0,0,0
2.324323100,1,0,0
2.331327560,0,0,0
2.331608490,0,0,1
2.331611380,0,1,1
2.331623660,0,1,0
2.331626480,0,0,0
2.344634230,1,0,0
2.351638570,0,0,0
2.351918350,0,1,0
2.351919170,0,1,1
2.351933490,0,0,1
2.351934310,0,0,0
2.364370460,1,0,0
2.371374790,0,0,0
2.371657290,0,1,0
2.371657800,0,1,1
2.371672620,0,0,1
2.371672860,0,0,0
2.384367870,1,0,0
2.391373960,0,0,0
2.391654720,0,0,1
2.391656400,0,1,1
2.391669960,0,1,0
2.391671550,0,0,0
2.404403190,1,0,0
2.411409320,0,0,0
2.411689050,0,1,0
2.411689490,0,1,1
2.411704240,0,0,1
2.411704740,0,0,0
2.424364530,1,0,0
2.431368980,0,0,0
2.431650100,0,0,1
2.431665390,0,0,0
2.431717100,0,1,0
2.431732370,0,0,0
2.444434660,1,0,0
2.451441010,0,0,0
2.451718300,0,1,0
2.451720020,0,1,1
2.451733480,0,0,1
2.451735040,0,0,0
2.464324550,1,0,0
2.471328600,0,0,0
2.471608740,0,1,0
2.471609710,0,1,1
2.471623890,0,0,1
2.471624770,0,0,0
2.484447410,1,0,0
2.491453270,0,0,0
2.491731640,0,0,1
2.491733330,0,1,1
2.491746840,0,1,0
2.491748580,0,0,0
2.504323120,1,0,0
2.511329280,0,0,0
2.511609490,0,1,0
2.511611450,0,1,1
2.511624630,0,0,1
2.511626640,0,0,0
2.524366530,1,0,0
2.531372600,0,0,0
2.531655060,0,1,0
2.531655830,0,1,1
2.531670200,0,0,1
2.531670930,0,0,0
2.544377580,1,0,0
2.551383750,0,0,0
2.551662420,0,1,0
2.551663230,0,1,1
2.551677580,0,0,1
2.551678400,0,0,0
2.564039600,1,0,0
2.571048530,0,0,0
2.571325590,0,0,1
2.571326710,0,1,1
2.571340760,0,1,0
2.571341900,0,0,0
2.584418990,1,0,0
2.591423460,0,0,0
2.591704120,0,0,1
2.591704330,0,1,1
2.591719410,0,1,0
2.591719590,0,0,0
2.604223910,1,0,0
2.611228730,0,0,0
2.611507250,0,1,0
2.611508500,0,1,1
2.611522390,0,0,1
2.611523620,0,0,0
2.624408790,1,0,0
2.631414780,0,0,0
2.631696840,0,0,1
2.631697110,0,1,1
2.631712040,0,1,0
2.631712250,0,0,0
2.644277200,1,0,0
2.651283290,0,0,0
2.651562840,0,0,1
2.651563890,0,1,1
2.651577980,0,1,0
2.651579120,0,0,0
2.664434040,1,0,0
2.671440010,0,0,0
2.671718660,0,0,1
2.671723670,0,1,1
2.671733860,0,1,0
2.671738890,0,0,0
2.684307510,1,0,0
2.691313220,0,0,0
2.691596030,0,1,0
2.691596100,0,1,1
2.691611090,0,0,1
2.691611200,0,0,0
2.704274350,1,0,0
2.711306420,0,0,0
2.711560320,0,1,0
2.711560370,0,1,1
2.711575550,0,0,1
2.711575600,0,0,0
2.724404130,1,0,0
2.731410390,0,0,0
