event,T0_tx_rise_s,T1_rx1_rise_s,T2_rx2_rise_s,T1-T0_us,T2-T0_us,T2-T1_us,RX1_gap_before_ms,RX2_gap_before_ms,status
1,1.806512800,1.813803710,1.813807030,7290.910,7294.230,3.320,,,ok
2,1.823757080,1.831048710,1.831048140,7291.630,7291.060,0.570,,,ok
3,1.844650820,1.851941980,1.851939500,7291.160,7288.680,2.480,,,ok
4,1.864175520,1.871464030,1.871462880,7288.510,7287.360,1.150,,,ok
5,1.884421230,1.891707520,1.891711080,7286.290,7289.850,3.560,,,ok
6,1.904163180,1.911450940,1.911483830,7287.760,7320.650,32.890,,,ok
7,1.924295460,1.931583010,1.931582880,7287.550,7287.420,0.130,,,ok
8,1.944291200,1.951577600,1.951576110,7286.400,7284.910,1.490,,,ok
9,1.964258060,1.971543550,1.971543840,7285.490,7285.780,0.290,,,ok
10,1.984310960,1.991597910,1.991661660,7286.950,7350.700,63.750,,,ok
11,2.004363570,2.011652730,2.011651480,7289.160,7287.910,1.250,,,ok
12,2.024309730,2.031595280,2.031594010,7285.550,7284.280,1.270,,,ok
13,2.044370550,2.051659450,2.051658300,7288.900,7287.750,1.150,,,ok
14,2.064269350,2.071557730,2.071556740,7288.380,7287.390,0.990,,,ok
15,2.084389130,2.091675110,2.091675210,7285.980,7286.080,0.100,,,ok
16,2.104199420,2.111484510,2.111487520,7285.090,7288.100,3.010,,,ok
17,2.123395640,2.130682820,2.130689590,7287.180,7293.950,6.770,,,ok
18,2.144535670,2.151821280,2.151819370,7285.610,7283.700,1.910,,,ok
19,2.164356950,2.171643600,2.171642430,7286.650,7285.480,1.170,,,ok
20,2.184407690,2.191693080,2.191697150,7285.390,7289.460,4.070,,,ok
21,2.204324590,2.211610300,2.211610420,7285.710,7285.830,0.120,,,ok
22,2.224306720,2.231593930,2.231592850,7287.210,7286.130,1.080,,,ok
23,2.244298860,2.251588150,2.251587480,7289.290,7288.620,0.670,,,ok
24,2.264300380,2.271586490,2.271585560,7286.110,7285.180,0.930,,,ok
25,2.284303160,2.291589740,2.291588980,7286.580,7285.820,0.760,,,ok
26,2.304256860,2.311543040,2.311541800,7286.180,7284.940,1.240,,,ok
27,2.324323100,2.331611380,2.331608490,7288.280,7285.390,2.890,,,ok
28,2.344634230,2.351918350,2.351919170,7284.120,7284.940,0.820,,,ok
29,2.364370460,2.371657290,2.371657800,7286.830,7287.340,0.510,,,ok
30,2.384367870,2.391656400,2.391654720,7288.530,7286.850,1.680,,,ok
31,2.404403190,2.411689050,2.411689490,7285.860,7286.300,0.440,,,ok
32,2.424364530,2.431717100,2.431650100,7352.570,7285.570,67.000,,,ok
33,2.444434660,2.451718300,2.451720020,7283.640,7285.360,1.720,,,ok
34,2.464324550,2.471608740,2.471609710,7284.190,7285.160,0.970,,,ok
35,2.484447410,2.491733330,2.491731640,7285.920,7284.230,1.690,,,ok
36,2.504323120,2.511609490,2.511611450,7286.370,7288.330,1.960,,,ok
37,2.524366530,2.531655060,2.531655830,7288.530,7289.300,0.770,,,ok
38,2.544377580,2.551662420,2.551663230,7284.840,7285.650,0.810,,,ok
39,2.564039600,2.571326710,2.571325590,7287.110,7285.990,1.120,,,ok
40,2.584418990,2.591704330,2.591704120,7285.340,7285.130,0.210,,,ok
41,2.604223910,2.611507250,2.611508500,7283.340,7284.590,1.250,,,ok
42,2.624408790,2.631697110,2.631696840,7288.320,7288.050,0.270,,,ok
43,2.644277200,2.651563890,2.651562840,7286.690,7285.640,1.050,,,ok
44,2.664434040,2.671723670,2.671718660,7289.630,7284.620,5.010,,,ok
45,2.684307510,2.691596030,2.691596100,7288.520,7288.590,0.070,,,ok
46,2.704274350,2.711560320,2.711560370,7285.970,7286.020,0.050,,,ok
47,2.724404130,2.731693520,2.731688630,7289.390,7284.500,4.890,,,ok
48,2.744323320,2.751611980,2.751610950,7288.660,7287.630,1.030,,,ok
49,2.764311680,2.771600550,2.771598390,7288.870,7286.710,2.160,,,ok
50,2.783769480,2.791058690,2.791059250,7289.210,7289.770,0.560,,,ok
51,2.804621280,2.811906170,2.811906420,7284.890,7285.140,0.250,,,ok
52,2.824353270,2.831640390,2.831640030,7287.120,7286.760,0.360,,,ok
53,2.844331260,2.851619000,2.851619410,7287.740,7288.150,0.410,,,ok
54,2.864393470,2.871682340,2.871681790,7288.870,7288.320,0.550,,,ok
55,2.884139140,2.891483840,2.891426080,7344.700,7286.940,57.760,,,ok
56,2.903964920,2.911253830,2.911243520,7288.910,7278.600,10.310,,,ok
57,2.923357700,2.930646280,2.930643070,7288.580,7285.370,3.210,,,ok
58,2.944874480,2.952160820,2.952161470,7286.340,7286.990,0.650,,,ok
59,2.964182360,2.971468040,2.971468740,7285.680,7286.380,0.700,,,ok
60,2.984280980,2.991567330,2.991569540,7286.350,7288.560,2.210,,,ok
61,3.003958250,3.011245880,3.011246480,7287.630,7288.230,0.600,,,ok
62,3.024394240,3.031684180,3.031679200,7289.940,7284.960,4.980,,,ok
63,3.044363690,3.051652640,3.051648490,7288.950,7284.800,4.150,,,ok
64,3.064306090,3.071589940,3.071643540,7283.850,7337.450,53.600,,,ok
65,3.084448700,3.091733350,3.091735270,7284.650,7286.570,1.920,,,ok
66,3.104231880,3.111517620,3.111518420,7285.740,7286.540,0.800,,,ok
67,3.124670050,3.132019520,3.131957010,7349.470,7286.960,62.510,,,ok
68,3.144250310,,3.151534660,,7284.350,,,,missing_rx1
69,3.163931420,3.171217520,3.171218750,7286.100,7287.330,1.230,39.198,,ok
70,3.183734860,3.191019900,3.191022190,7285.040,7287.330,2.290,,,ok
71,3.204207540,3.211491760,3.211495550,7284.220,7288.010,3.790,,,ok
72,3.224270190,3.231557520,3.231556430,7287.330,7286.240,1.090,,,ok
73,3.244331350,3.251619980,3.251617600,7288.630,7286.250,2.380,,,ok
74,3.264069310,3.271359300,3.271355810,7289.990,7286.500,3.490,,,ok
75,3.284732260,3.292015180,3.292019290,7282.920,7287.030,4.110,,,ok
76,3.304153740,3.311439830,3.311442650,7286.090,7288.910,2.820,,,ok
77,3.324351630,3.331636570,3.331636160,7284.940,7284.530,0.410,,,ok
78,3.343748420,3.351037870,3.351034620,7289.450,7286.200,3.250,,,ok
79,3.363608280,3.370896230,3.370961190,7287.950,7352.910,64.960,,,ok
80,3.384598630,3.391884360,3.391886330,7285.730,7287.700,1.970,,,ok
81,3.404186130,3.411472930,3.411474570,7286.800,7288.440,1.640,,,ok
82,3.424503020,3.431791080,3.431788130,7288.060,7285.110,2.950,,,ok
83,3.444275400,3.451564400,3.451561410,7289.000,7286.010,2.990,,,ok
84,3.464280680,3.471566990,3.471568850,7286.310,7288.170,1.860,,,ok
85,3.484331390,3.491613750,3.491618290,7282.360,7286.900,4.540,,,ok
86,3.504255650,3.511609080,3.511540650,7353.430,7285.000,68.430,,,ok
87,3.523932070,3.531216570,3.531217510,7284.500,7285.440,0.940,,,ok
88,3.544382540,3.551671510,3.551666100,7288.970,7283.560,5.410,,,ok
89,3.563644820,3.570929750,3.570931540,7284.930,7286.720,1.790,,,ok
90,3.583801740,3.591086840,3.591089170,7285.100,7287.430,2.330,,,ok
91,3.604499770,3.611785240,3.611786380,7285.470,7286.610,1.140,,,ok
92,3.624274490,3.631558770,3.631561970,7284.280,7287.480,3.200,,,ok
93,3.644279120,3.651568170,3.651565430,7289.050,7286.310,2.740,,,ok
94,3.664334290,3.671621680,3.671618660,7287.390,7284.370,3.020,,,ok
95,3.684307760,3.691593770,3.691651500,7286.010,7343.740,57.730,,,ok
96,3.704180510,3.711468190,3.711465610,7287.680,7285.100,2.580,,,ok
97,3.723757420,3.731044300,3.731043900,7286.880,7286.480,0.400,,,ok
98,3.744482760,3.751769990,3.751771430,7287.230,7288.670,1.440,,,ok
99,3.764483540,3.771768120,3.771833100,7284.580,7349.560,64.980,,,ok
100,3.784290020,3.791576460,3.791578400,7286.440,7288.380,1.940,,,ok
101,3.804282720,3.811569090,3.811567670,7286.370,7284.950,1.420,,,ok
102,3.824641850,3.831928560,3.831924630,7286.710,7282.780,3.930,,,ok
103,3.844382300,3.851666520,3.851668590,7284.220,7286.290,2.070,,,ok
104,3.864242700,3.871530010,3.871527640,7287.310,7284.940,2.370,,,ok
105,3.884399850,3.891687450,3.891686140,7287.600,7286.290,1.310,,,ok
106,3.903460980,3.910744250,3.910813900,7283.270,7352.920,69.650,,,ok
107,3.924648830,3.931934980,3.931938110,7286.150,7289.280,3.130,,,ok
108,3.944195960,3.951483510,3.951480530,7287.550,7284.570,2.980,,,ok
109,3.964515900,3.971800580,3.971804680,7284.680,7288.780,4.100,,,ok
110,3.984314390,3.991600090,3.991603160,7285.700,7288.770,3.070,,,ok
111,4.004125390,4.011413760,4.011410230,7288.370,7284.840,3.530,,,ok
112,4.024411230,4.031696890,4.031697340,7285.660,7286.110,0.450,,,ok
113,4.044372930,4.051606170,4.051658550,7233.240,7285.620,52.380,,,ok
114,4.064320580,4.071607820,4.071605910,7287.240,7285.330,1.910,,,ok
115,4.084359820,4.091646990,4.091644390,7287.170,7284.570,2.600,,,ok
116,4.104264890,4.111549600,4.111553620,7284.710,7288.730,4.020,,,ok
117,4.124422140,4.131773340,4.131707070,7351.200,7284.930,66.270,,,ok
118,4.144325590,4.151612220,4.151609570,7286.630,7283.980,2.650,,,ok
119,4.164319740,4.171605510,4.171606470,7285.770,7286.730,0.960,,,ok
120,4.183750230,4.191038810,4.191037080,7288.580,7286.850,1.730,,,ok
121,4.204211420,4.211496030,4.211500710,7284.610,7289.290,4.680,,,ok
122,4.224104180,4.231390660,4.231389060,7286.480,7284.880,1.600,,,ok
123,4.244493250,4.251777620,4.251781070,7284.370,7287.820,3.450,,,ok
124,4.264326340,4.271612400,4.271615030,7286.060,7288.690,2.630,,,ok
125,4.284357620,4.291644860,4.291643240,7287.240,7285.620,1.620,,,ok
