Time [s],Tx,Rx1,Rx2
0.000000000,0,0,0
35.798299710,1,0,0
35.805310530,0,0,0
35.805592560,0,0,1
35.805594690,0,1,1
35.805608730,0,1,0
35.805610870,0,0,0
35.824094820,1,0,0
35.831100520,0,0,0
35.831382420,0,0,1
35.831384710,0,1,1
35.831397820,0,1,0
35.831400000,0,0,0
35.849822940,1,0,0
35.856829090,0,0,0
35.857112780,0,1,0
35.857127990,0,0,0
35.857175660,0,0,1
35.857190910,0,0,0
35.875595300,1,0,0
35.882602050,0,0,0
35.882884070,0,0,1
35.882885970,0,1,1
35.882899190,0,1,0
35.882901070,0,0,0
35.901081280,1,0,0
35.908085250,0,0,0
35.908366290,0,1,0
35.908367390,0,1,1
35.908381480,0,0,1
35.908382640,0,0,0
35.926840690,1,0,0
35.933846800,0,0,0
35.934126880,0,1,0
35.934131110,0,1,1
35.934142190,0,0,1
35.934146270,0,0,0
35.952485260,1,0,0
35.959491240,0,0,0
35.959773740,0,0,1
35.959775380,0,1,1
35.959789030,0,1,0
35.959790570,0,0,0
35.978271450,1,0,0
35.985274480,0,0,0
35.985557170,0,0,1
35.985557910,0,1,1
35.985572420,0,1,0
35.985573070,0,0,0
36.003882650,1,0,0
36.010885610,0,0,0
36.011168100,0,0,1
36.011169250,0,1,1
36.011183390,0,1,0
36.011184430,0,0,0
36.029470640,1,0,0
36.036476540,0,0,0
36.036758000,0,1,0
36.036758290,0,1,1
36.036773270,0,0,1
36.036773620,0,0,0
36.055231190,1,0,0
36.062237110,0,0,0
36.062516590,0,0,1
36.062518990,0,1,1
36.062531780,0,1,0
36.062534220,0,0,0
36.080957840,1,0,0
36.087963930,0,0,0
36.088246150,0,0,1
36.088247310,0,1,1
36.088261390,0,1,0
36.088262350,0,0,0
36.106334410,1,0,0
36.113339080,0,0,0
36.113573670,0,1,0
36.113588830,0,0,0
36.113657680,0,0,1
36.113672900,0,0,0
36.132092170,1,0,0
36.139100590,0,0,0
36.139377000,0,0,1
36.139378190,0,1,1
36.139392160,0,1,0
36.139393340,0,0,0
36.155924000,1,0,0
36.162929810,0,0,0
36.163211210,0,0,1
36.163212430,0,1,1
36.163226360,0,1,0
36.163227610,0,0,0
36.181622710,1,0,0
36.188627220,0,0,0
36.188909870,0,0,1
36.188910910,0,1,1
36.188925090,0,1,0
36.188926180,0,0,0
36.207393350,1,0,0
36.214399180,0,0,0
36.214678150,0,0,1
36.214679230,0,1,1
36.214693420,0,1,0
36.214694390,0,0,0
36.233107770,1,0,0
36.240113840,0,0,0
36.240394200,0,0,1
36.240397610,0,1,1
36.240409450,0,1,0
36.240412780,0,0,0
36.257361810,1,0,0
36.264368040,0,0,0
36.264650230,0,0,1
36.264650300,0,1,1
36.264665370,0,1,0
36.264665530,0,0,0
36.282932860,1,0,0
36.289936090,0,0,0
36.290219500,0,1,0
36.290223800,0,1,1
36.290234790,0,0,1
36.290239010,0,0,0
36.308690600,1,0,0
36.315696750,0,0,0
36.315975620,0,0,1
36.315977840,0,1,1
36.315990770,0,1,0
36.315992940,0,0,0
36.334551290,1,0,0
36.341555800,0,0,0
36.341836380,0,1,0
36.341840530,0,1,1
36.341851510,0,0,1
36.341855730,0,0,0
36.360046490,1,0,0
36.367052800,0,0,0
36.367333620,0,1,0
36.367334060,0,1,1
36.367348780,0,0,1
36.367349280,0,0,0
36.385757240,1,0,0
36.392763370,0,0,0
36.393041710,0,1,0
36.393046270,0,1,1
36.393056910,0,0,1
36.393061400,0,0,0
36.411216960,1,0,0
36.418220010,0,0,0
36.418503330,0,0,1
36.418506550,0,1,1
36.418518470,0,1,0
36.418521730,0,0,0
36.436875530,1,0,0
36.443881050,0,0,0
36.444163290,0,0,1
36.444164150,0,1,1
36.444178560,0,1,0
36.444179340,0,0,0
36.462065470,1,0,0
36.469071140,0,0,0
36.469352510,0,0,1
36.469353350,0,1,1
36.469367680,0,1,0
36.469368600,0,0,0
36.487793310,1,0,0
36.494790880,0,0,0
36.495080230,0,0,1
36.495081750,0,1,1
36.495095500,0,1,0
36.495096870,0,0,0
36.513170400,1,0,0
36.520176570,0,0,0
36.520458740,0,0,1
36.520460030,0,1,1
36.520473940,0,1,0
36.520475130,0,0,0
36.539463040,1,0,0
36.546467440,0,0,0
36.546748530,0,1,0
36.546750100,0,1,1
36.546763650,0,0,1
36.546765250,0,0,0
36.564534190,1,0,0
36.571540070,0,0,0
36.571819100,0,1,0
36.571821420,0,1,1
36.571834310,0,0,1
36.571836590,0,0,0
36.589033940,1,0,0
36.596040150,0,0,0
36.596317980,0,1,0
36.596319930,0,1,1
36.596333230,0,0,1
36.596335200,0,0,0
36.614216320,1,0,0
36.621222070,0,0,0
36.621502380,0,0,1
36.621503760,0,1,1
36.621517560,0,1,0
36.621519030,0,0,0
36.639131130,1,0,0
36.646137200,0,0,0
36.646415890,0,0,1
36.646417140,0,1,1
36.646430970,0,1,0
36.646432340,0,0,0
36.664469430,1,0,0
36.671475180,0,0,0
36.671754350,0,0,1
36.671755540,0,1,1
36.671769600,0,1,0
36.671770830,0,0,0
36.690164900,1,0,0
36.697169630,0,0,0
36.697453690,0,1,0
36.697453760,0,1,1
36.697468880,0,0,1
36.697469010,0,0,0
36.715930820,1,0,0
36.722936970,0,0,0
36.723216090,0,1,0
36.723216950,0,1,1
36.723231280,0,0,1
36.723232180,0,0,0
36.741132830,1,0,0
36.748139040,0,0,0
36.748420550,0,1,0
36.748420570,0,1,1
36.748435720,0,0,1
36.748435730,0,0,0
