event,T0_tx_rise_s,T1_rx1_rise_s,T2_rx2_rise_s,T1-T0_us,T2-T0_us,T2-T1_us,RX1_gap_before_ms,RX2_gap_before_ms,status
80,9.250203780,9.257491730,9.257494390,7287.950,7290.610,2.660,,,ok
81,9.270202900,9.277490520,9.277491990,7287.620,7289.090,1.470,,,ok
82,9.290097880,9.297384630,9.297386350,7286.750,7288.470,1.720,,,ok
83,9.310099940,9.317387960,9.317455660,7288.020,7355.720,67.700,,,ok
84,9.330137370,9.337426150,9.337427130,7288.780,7289.760,0.980,,,ok
85,9.350096020,9.357384650,9.357381650,7288.630,7285.630,3.000,,,ok
86,9.370107160,9.377393170,9.377394770,7286.010,7287.610,1.600,,,ok
87,9.390105430,9.397353780,9.397393340,7248.350,7287.910,39.560,,,ok
88,9.410122930,9.417409900,9.417409010,7286.970,7286.080,0.890,,,ok
89,9.430087050,9.437373090,9.437374150,7286.040,7287.100,1.060,,,ok
90,9.450076670,9.457363880,9.457360910,7287.210,7284.240,2.970,,,ok
91,9.470085360,9.477373820,9.477365450,7288.460,7280.090,8.370,,,ok
92,9.490162330,9.497446860,9.497450090,7284.530,7287.760,3.230,,,ok
93,9.510063500,9.517351530,9.517353560,7288.030,7290.060,2.030,,,ok
94,9.529405200,9.536693840,9.536641030,7288.640,7235.830,52.810,,,ok
95,9.550314430,9.557669260,9.557600440,7354.830,7286.010,68.820,,,ok
96,9.570021160,9.577310680,9.577308850,7289.520,7287.690,1.830,,,ok
97,9.590083150,9.597369860,9.597371260,7286.710,7288.110,1.400,,,ok
98,9.610117210,9.617402240,9.617405650,7285.030,7288.440,3.410,,,ok
99,9.630116920,9.637405820,9.637402520,7288.900,7285.600,3.300,,,ok
100,9.649632020,9.656919910,9.656922410,7287.890,7290.390,2.500,,,ok
101,9.670238420,9.677528490,9.677524990,7290.070,7286.570,3.500,,,ok
102,9.690137310,,9.697423360,,7286.050,,,,missing_rx1
103,9.710065120,9.717354890,9.717351560,7289.770,7286.440,3.330,39.826,,ok
104,9.730204180,9.737493370,9.737491010,7289.190,7286.830,2.360,,,ok
105,9.750192610,9.757480660,9.757479090,7288.050,7286.480,1.570,,,ok
106,9.770091110,9.777379890,9.777376930,7288.780,7285.820,2.960,,,ok
107,9.790180590,9.797467280,9.797466280,7286.690,7285.690,1.000,,,ok
108,9.809540750,9.816826720,9.816829460,7285.970,7288.710,2.740,,,ok
109,9.830266960,9.837554970,9.837552000,7288.010,7285.040,2.970,,,ok
110,9.850111540,9.857397640,9.857363120,7286.100,7251.580,34.520,,,ok
111,9.870069030,9.877356770,9.877352090,7287.740,7283.060,4.680,,,ok
112,9.890161620,9.897448970,9.897448060,7287.350,7286.440,0.910,,,ok
113,9.910027110,9.917312220,9.917316310,7285.110,7289.200,4.090,,,ok
114,9.930124940,9.937411660,9.937478820,7286.720,7353.880,67.160,,,ok
115,9.949390020,9.956679140,9.956677270,7289.120,7287.250,1.870,,,ok
116,9.970187020,9.977472330,9.977476790,7285.310,7289.770,4.460,,,ok
117,9.989962370,9.997252000,9.997249990,7289.630,7287.620,2.010,,,ok
118,10.009735140,10.017022750,10.017023480,7287.610,7288.340,0.730,,,ok
119,10.029261570,10.036547580,10.036551790,7286.010,7290.220,4.210,,,ok
120,10.050169070,10.057455930,10.057455240,7286.860,7286.170,0.690,,,ok
121,10.070170820,10.077460410,10.077457420,7289.590,7286.600,2.990,,,ok
122,10.090031460,10.097317230,10.097319560,7285.770,7288.100,2.330,,,ok
123,10.110162270,10.117450700,10.117450390,7288.430,7288.120,0.310,,,ok
124,10.130063880,10.137350430,10.137352820,7286.550,7288.940,2.390,,,ok
125,10.150117850,10.157402980,10.157405770,7285.130,7287.920,2.790,,,ok
126,10.170122100,10.177409680,10.177409700,7287.580,7287.600,0.020,,,ok
127,10.190109720,10.197395410,10.197398050,7285.690,7288.330,2.640,,,ok
128,10.210107220,10.217393750,10.217396460,7286.530,7289.240,2.710,,,ok
129,10.230110680,10.237394730,10.237400750,7284.050,7290.070,6.020,,,ok
130,10.250105130,10.257393290,10.257391780,7288.160,7286.650,1.510,,,ok
131,10.270128630,10.277418830,10.277416590,7290.200,7287.960,2.240,,,ok
132,10.290120960,10.297407160,10.297410890,7286.200,7289.930,3.730,,,ok
133,10.310068870,10.317355690,10.317357970,7286.820,7289.100,2.280,,,ok
134,10.329281050,10.336568100,10.336566730,7287.050,7285.680,1.370,,,ok
135,10.350369280,10.357657140,10.357656020,7287.860,7286.740,1.120,,,ok
136,10.370076070,10.377365580,10.377363370,7289.510,7287.300,2.210,,,ok
137,10.389587670,10.396872770,10.396877820,7285.100,7290.150,5.050,,,ok
138,10.410340300,10.417626040,10.417625210,7285.740,7284.910,0.830,,,ok
139,10.429707020,10.436995690,10.436993280,7288.670,7286.260,2.410,,,ok
140,10.450279140,10.457567980,10.457568110,7288.840,7288.970,0.130,,,ok
141,10.469988560,10.477243370,10.477342060,7254.810,7353.500,98.690,,,ok
142,10.489730780,10.497020670,10.497019790,7289.890,7289.010,0.880,,,ok
143,10.510208700,10.517497830,10.517498050,7289.130,7289.350,0.220,,,ok
144,10.530102130,10.537392460,10.537391690,7290.330,7289.560,0.770,,,ok
145,10.550073110,10.557426930,10.557359260,7353.820,7286.150,67.670,,,ok
146,10.569629520,10.576918190,10.576917400,7288.670,7287.880,0.790,,,ok
147,10.590170000,10.597457390,10.597456860,7287.390,7286.860,0.530,,,ok
148,10.610068660,10.617355000,10.617353770,7286.340,7285.110,1.230,,,ok
149,10.629264890,10.636554330,10.636553530,7289.440,7288.640,0.800,,,ok
150,10.650380030,10.657665120,10.657669290,7285.090,7289.260,4.170,,,ok
151,10.669980470,10.677263480,10.677267660,7283.010,7287.190,4.180,,,ok
152,10.690019300,10.697309270,10.697307680,7289.970,7288.380,1.590,,,ok
153,10.710094920,10.717382700,10.717381170,7287.780,7286.250,1.530,,,ok
154,10.730065850,10.737355000,10.737355560,7289.150,7289.710,0.560,,,ok
155,10.750189790,10.757479230,10.757478840,7289.440,7289.050,0.390,,,ok
