event,T0_tx_rise_s,T1_rx1_rise_s,T2_rx2_rise_s,T1-T0_us,T2-T0_us,T2-T1_us,RX1_gap_before_ms,RX2_gap_before_ms,status
1,15.795638770,15.802931000,15.802932800,7292.230,7294.030,1.800,,,ok
2,15.819317050,15.826606800,15.826607680,7289.750,7290.630,0.880,,,ok
3,15.845018880,15.852308150,15.852306490,7289.270,7287.610,1.660,,,ok
4,15.870891800,15.878181600,15.878178890,7289.800,7287.090,2.710,,,ok
5,15.896614430,15.903899770,15.903901170,7285.340,7286.740,1.400,,,ok
6,15.922163990,15.929452310,15.929449360,7288.320,7285.370,2.950,,,ok
7,15.947457280,15.954746430,15.954743590,7289.150,7286.310,2.840,,,ok
8,15.973054130,15.980338840,15.980406210,7284.710,7352.080,67.370,,,ok
9,15.998876610,16.006160710,16.006164590,7284.100,7287.980,3.880,,,ok
10,16.024562380,16.031851540,16.031847820,7289.160,7285.440,3.720,,,ok
11,16.050607840,16.057894150,16.057896370,7286.310,7288.530,2.220,,,ok
12,16.075901740,16.083188190,16.083188370,7286.450,7286.630,0.180,,,ok
13,16.101552570,16.108840580,16.108839160,7288.010,7286.590,1.420,,,ok
14,16.127534370,16.134820050,16.134822520,7285.680,7288.150,2.470,,,ok
15,16.153060490,16.160347570,16.160345710,7287.080,7285.220,1.860,,,ok
16,16.178785140,16.186070360,16.186073290,7285.220,7288.150,2.930,,,ok
17,16.204110610,16.211400170,16.211397760,7289.560,7287.150,2.410,,,ok
18,16.229859780,16.237148480,16.237144700,7288.700,7284.920,3.780,,,ok
19,16.255745910,16.263030930,16.263033590,7285.020,7287.680,2.660,,,ok
20,16.281433280,16.288720520,16.288718030,7287.240,7284.750,2.490,,,ok
21,16.306998700,16.314282800,16.314283910,7284.100,7285.210,1.110,,,ok
22,16.332836890,16.340120970,16.340124930,7284.080,7288.040,3.960,,,ok
23,16.358072840,16.365360470,16.365358160,7287.630,7285.320,2.310,,,ok
24,16.383750890,16.391037840,16.391036710,7286.950,7285.820,1.130,,,ok
25,16.409394390,16.416682290,16.416677590,7287.900,7283.200,4.700,,,ok
26,16.435369800,16.442654210,16.442656020,7284.410,7286.220,1.810,,,ok
27,16.460876490,16.468163850,16.468162030,7287.360,7285.540,1.820,,,ok
28,16.486551410,16.493836330,16.493837900,7284.920,7286.490,1.570,,,ok
29,16.511899510,16.519185760,16.519187990,7286.250,7288.480,2.230,,,ok
30,16.537610410,16.544898990,16.544897160,7288.580,7286.750,1.830,,,ok
31,16.563742030,16.571027480,16.571030700,7285.450,7288.670,3.220,,,ok
32,16.589057260,16.596345170,16.596344020,7287.910,7286.760,1.150,,,ok
33,16.614877470,16.622163520,16.622162520,7286.050,7285.050,1.000,,,ok
34,16.640729800,16.648016810,16.648013520,7287.010,7283.720,3.290,,,ok
35,16.666241010,16.673526100,16.673529440,7285.090,7288.430,3.340,,,ok
36,16.691148550,16.698434700,16.698436710,7286.150,7288.160,2.010,,,ok
37,16.716143710,16.723432220,16.723429710,7288.510,7286.000,2.510,,,ok
38,16.741000810,16.748286220,16.748289420,7285.410,7288.610,3.200,,,ok
39,16.766191250,16.773479670,16.773477240,7288.420,7285.990,2.430,,,ok
40,16.791825100,16.799112960,16.799111430,7287.860,7286.330,1.530,,,ok
41,16.817514500,16.824801400,16.824799760,7286.900,7285.260,1.640,,,ok
42,16.843207710,16.850494580,16.850493200,7286.870,7285.490,1.380,,,ok
43,16.867647870,16.874932980,16.874934060,7285.110,7286.190,1.080,,,ok
44,16.893209820,16.900496740,16.900495000,7286.920,7285.180,1.740,,,ok
45,16.917345480,16.924634910,16.924633500,7289.430,7288.020,1.410,,,ok
46,16.943162550,16.950446950,16.950451880,7284.400,7289.330,4.930,,,ok
47,16.968953880,16.976241590,16.976239500,7287.710,7285.620,2.090,,,ok
48,16.994489730,17.001772460,17.001777670,7282.730,7287.940,5.210,,,ok
49,17.020231320,17.027518500,17.027520400,7287.180,7289.080,1.900,,,ok
50,17.046136030,17.053420890,17.053425590,7284.860,7289.560,4.700,,,ok
51,17.071733550,17.079020160,17.079018970,7286.610,7285.420,1.190,,,ok
52,17.097972090,17.105258430,17.105257450,7286.340,7285.360,0.980,,,ok
53,17.123301840,17.130587050,17.130589660,7285.210,7287.820,2.610,,,ok
54,17.149205220,17.156487630,17.156494450,7282.410,7289.230,6.820,,,ok
55,17.174895570,17.182183540,17.182246520,7287.970,7350.950,62.980,,,ok
56,17.200655800,17.207935580,17.207939710,7279.780,7283.910,4.130,,,ok
57,17.225518030,17.232804500,17.232804460,7286.470,7286.430,0.040,,,ok
58,17.249588790,17.256873770,17.256875400,7284.980,7286.610,1.630,,,ok
59,17.275487830,17.282777060,17.282775030,7289.230,7287.200,2.030,,,ok
60,17.301109430,17.308395390,17.308394670,7285.960,7285.240,0.720,,,ok
61,17.326922140,17.334208900,17.334208110,7286.760,7285.970,0.790,,,ok
62,17.352798980,17.360086320,17.360086740,7287.340,7287.760,0.420,,,ok
63,17.378313100,17.385599380,17.385600050,7286.280,7286.950,0.670,,,ok
64,17.404104690,17.411388930,17.411392720,7284.240,7288.030,3.790,,,ok
65,17.429727960,17.437016430,17.437015830,7288.470,7287.870,0.600,,,ok
66,17.455469540,17.462755780,17.462754580,7286.240,7285.040,1.200,,,ok
67,17.479965100,17.487253900,17.487252750,7288.800,7287.650,1.150,,,ok
68,17.505791490,17.513076570,17.513077120,7285.080,7285.630,0.550,,,ok
69,17.531420160,17.538705090,17.538705630,7284.930,7285.470,0.540,,,ok
70,17.556914450,17.564199310,17.564201340,7284.860,7286.890,2.030,,,ok
71,17.582911930,17.590261890,17.590197460,7349.960,7285.530,64.430,,,ok
72,17.607948090,17.615234640,17.615233400,7286.550,7285.310,1.240,,,ok
73,17.633609070,17.640894260,17.640899150,7285.190,7290.080,4.890,,,ok
74,17.657926340,17.665212700,17.665211320,7286.360,7284.980,1.380,,,ok
75,17.683901360,17.691184840,17.691189990,7283.480,7288.630,5.150,,,ok
76,17.709783210,17.717069420,17.717069390,7286.210,7286.180,0.030,,,ok
77,17.733763830,17.741050380,17.741052930,7286.550,7289.100,2.550,,,ok
78,17.759297350,17.766547310,17.766585560,7249.960,7288.210,38.250,,,ok
79,17.785351020,17.792639640,17.792639640,7288.620,7288.620,0.000,,,ok
80,17.809461820,17.816746740,17.816748160,7284.920,7286.340,1.420,,,ok
81,17.835193940,17.842481450,17.842481620,7287.510,7287.680,0.170,,,ok
82,17.859920000,17.867204650,17.867204850,7284.650,7284.850,0.200,,,ok
83,17.883769630,17.891057200,17.891058230,7287.570,7288.600,1.030,,,ok
84,17.909927300,17.917216570,17.917216920,7289.270,7289.620,0.350,,,ok
85,17.935192090,17.942477270,17.942479270,7285.180,7287.180,2.000,,,ok
86,17.961092110,17.968377250,17.968378760,7285.140,7286.650,1.510,,,ok
87,17.986854740,17.994141450,17.994206440,7286.710,7351.700,64.990,,,ok
88,18.010883310,18.018167530,18.018170340,7284.220,7287.030,2.810,,,ok
89,18.036502980,18.043787280,18.043787970,7284.300,7284.990,0.690,,,ok
90,18.062206870,18.069491570,18.069492320,7284.700,7285.450,0.750,,,ok
91,18.088124480,18.095410040,18.095409910,7285.560,7285.430,0.130,,,ok
92,18.113458170,18.120742460,18.120743410,7284.290,7285.240,0.950,,,ok
93,18.139286210,18.146569260,18.146571560,7283.050,7285.350,2.300,,,ok
94,18.165110170,18.172459510,18.172395950,7349.340,7285.780,63.560,,,ok
95,18.188753880,18.196037530,18.196038520,7283.650,7284.640,0.990,,,ok
96,18.212391040,18.219676890,18.219677750,7285.850,7286.710,0.860,,,ok
97,18.237513390,18.244797740,18.244798560,7284.350,7285.170,0.820,,,ok
98,18.262863740,18.270148740,18.270149400,7285.000,7285.660,0.660,,,ok
99,18.287581150,18.294866000,18.294868130,7284.850,7286.980,2.130,,,ok
100,18.312223710,18.319509500,18.319511460,7285.790,7287.750,1.960,,,ok
101,18.337372930,18.344657460,18.344658840,7284.530,7285.910,1.380,,,ok
102,18.362308700,18.369596180,18.369598170,7287.480,7289.470,1.990,,,ok
103,18.387959550,18.395245470,18.395246780,7285.920,7287.230,1.310,,,ok
104,18.413588970,18.420871300,18.420872760,7282.330,7283.790,1.460,,,ok
105,18.437745520,18.445032130,18.445032530,7286.610,7287.010,0.400,,,ok
106,18.463611110,18.470899650,18.470896120,7288.540,7285.010,3.530,,,ok
107,18.489263230,18.496549000,18.496549300,7285.770,7286.070,0.300,,,ok
108,18.514250980,18.521537480,18.521536490,7286.500,7285.510,0.990,,,ok
109,18.540288020,18.547574830,18.547576490,7286.810,7288.470,1.660,,,ok
110,18.565887100,18.573163700,18.573174620,7276.600,7287.520,10.920,,,ok
111,18.591459640,18.598746550,18.598746660,7286.910,7287.020,0.110,,,ok
112,18.616280780,18.623565920,18.623567310,7285.140,7286.530,1.390,,,ok
113,18.641109760,18.648393090,18.648395870,7283.330,7286.110,2.780,,,ok
114,18.666072730,18.673356600,18.673359310,7283.870,7286.580,2.710,,,ok
115,18.691854710,18.699139950,18.699142790,7285.240,7288.080,2.840,,,ok
116,18.717552830,18.724839410,18.724841150,7286.580,7288.320,1.740,,,ok
117,18.743403060,18.750692630,18.750689690,7289.570,7286.630,2.940,,,ok
118,18.769254580,18.776541250,18.776540490,7286.670,7285.910,0.760,,,ok
119,18.794976830,18.802263670,18.802266220,7286.840,7289.390,2.550,,,ok
120,18.820153990,18.827441960,18.827454930,7287.970,7300.940,12.970,,,ok
121,18.845951080,18.853236310,18.853238280,7285.230,7287.200,1.970,,,ok
122,18.871616910,18.878904530,18.878906610,7287.620,7289.700,2.080,,,ok
123,18.897336030,18.904621920,18.904624030,7285.890,7288.000,2.110,,,ok
124,18.921614360,18.928901320,18.928943280,7286.960,7328.920,41.960,,,ok
125,18.947243880,18.954529670,18.954531990,7285.790,7288.110,2.320,,,ok
126,18.973070840,18.980355580,18.980360410,7284.740,7289.570,4.830,,,ok
127,18.997956080,19.005239950,19.005243700,7283.870,7287.620,3.750,,,ok
128,19.023436720,19.030724640,19.030722310,7287.920,7285.590,2.330,,,ok
129,19.048522490,19.055807280,19.055810600,7284.790,7288.110,3.320,,,ok
130,19.073479820,19.080766400,19.080769170,7286.580,7289.350,2.770,,,ok
131,19.099104740,19.106388900,19.106391330,7284.160,7286.590,2.430,,,ok
132,19.123592060,19.130876940,19.130879960,7284.880,7287.900,3.020,,,ok
133,19.149502690,19.156790700,19.156789210,7288.010,7286.520,1.490,,,ok
134,19.174722680,19.181990260,19.182006650,7267.580,7283.970,16.390,,,ok
135,19.200256330,19.207543400,19.207541090,7287.070,7284.760,2.310,,,ok
136,19.225660200,19.232945860,19.232948610,7285.660,7288.410,2.750,,,ok
137,19.251481780,19.258768900,19.258767030,7287.120,7285.250,1.870,,,ok
138,19.277159030,19.284448500,19.284441840,7289.470,7282.810,6.660,,,ok
139,19.302841800,19.310190760,19.310129700,7348.960,7287.900,61.060,,,ok
140,19.328201880,19.335490280,19.335487260,7288.400,7285.380,3.020,,,ok
141,19.353550650,19.360837780,19.360836550,7287.130,7285.900,1.230,,,ok
142,19.377769980,19.385068130,19.385057660,7298.150,7287.680,10.470,,,ok
143,19.403182600,19.410469080,19.410466910,7286.480,7284.310,2.170,,,ok
144,19.427717550,19.435003810,19.435006910,7286.260,7289.360,3.100,,,ok
145,19.453187510,19.460476140,19.460474330,7288.630,7286.820,1.810,,,ok
146,19.477372980,19.484660640,19.484657790,7287.660,7284.810,2.850,,,ok
147,19.503100620,19.510387630,19.510387120,7287.010,7286.500,0.510,,,ok
148,19.528852640,19.536142320,19.536140660,7289.680,7288.020,1.660,,,ok
149,19.554777830,19.562064630,19.562063850,7286.800,7286.020,0.780,,,ok
150,19.580397120,19.587684210,19.587682250,7287.090,7285.130,1.960,,,ok
151,19.605870990,19.613157330,19.613160790,7286.340,7289.800,3.460,,,ok
