Time [s],Tx,Rx1,Rx2
0.000000000,0,0,0
15.795638770,1,0,0
15.802643970,0,0,0
15.802931000,0,1,0
15.802932800,0,1,1
15.802947090,0,0,1
15.802949150,0,0,0
15.819317050,1,0,0
15.826323130,0,0,0
15.826606800,0,1,0
15.826607680,0,1,1
15.826622040,0,0,1
15.826623180,0,0,0
15.845018880,1,0,0
15.852025310,0,0,0
15.852306490,0,0,1
15.852308150,0,1,1
15.852321870,0,1,0
15.852323400,0,0,0
15.870891800,1,0,0
15.877898050,0,0,0
15.878178890,0,0,1
15.878181600,0,1,1
15.878194310,0,1,0
15.878196850,0,0,0
15.896614430,1,0,0
15.903620190,0,0,0
15.903899770,0,1,0
15.903901170,0,1,1
15.903914950,0,0,1
15.903916350,0,0,0
15.922163990,1,0,0
15.929170170,0,0,0
15.929449360,0,0,1
15.929452310,0,1,1
15.929464710,0,1,0
15.929467570,0,0,0
15.947457280,1,0,0
15.954463540,0,0,0
15.954743590,0,0,1
15.954746430,0,1,1
15.954758770,0,1,0
15.954761610,0,0,0
15.973054130,1,0,0
15.980060480,0,0,0
15.980338840,0,1,0
15.980353990,0,0,0
15.980406210,0,0,1
15.980421270,0,0,0
15.998876610,1,0,0
16.005873730,0,0,0
16.006160710,0,1,0
16.006164590,0,1,1
16.006175960,0,0,1
16.006179820,0,0,0
16.024562380,1,0,0
16.031570800,0,0,0
16.031847820,0,0,1
16.031851540,0,1,1
16.031862920,0,1,0
16.031866730,0,0,0
16.050607840,1,0,0
16.057610740,0,0,0
16.057894150,0,1,0
16.057896370,0,1,1
16.057909440,0,0,1
16.057911530,0,0,0
16.075901740,1,0,0
16.082907690,0,0,0
16.083188190,0,1,0
16.083188370,0,1,1
16.083203350,0,0,1
16.083203570,0,0,0
16.101552570,1,0,0
16.108557010,0,0,0
16.108839160,0,0,1
16.108840580,0,1,1
16.108854370,0,1,0
16.108855810,0,0,0
16.127534370,1,0,0
16.134540320,0,0,0
16.134820050,0,1,0
