tx_time,rx_time,tx_time_ns,rx_time_ns,latency_us,latency_ms,tx_port,rx_port,tx_local_tick,tx_local_us,rx_local_tick,rx_local_us,rx_seq,data_hex,tx_world_time,rx_world_time,tx_world_time_ns,rx_world_time_ns,physical_latency_us,physical_latency_ms,tx_ns_per_tick,rx_ns_per_tick
2026-09-15T22:38:52.232816+08:00,2026-09-15T22:38:52.245277+08:00,1789483132232816000,1789483132245277000,12461.000,12.461000,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,3252461,,2772949,,48,003F02019A02B2DCF0BABA2B717454B18BDD8B95CA3A85BA032494DC4403,2026-09-15T22:38:52.232816+08:00,2026-09-15T22:38:52.245277+08:00,1789483132232816128,1789483132245276928,12460.800,12.460800,-29792.101906790,-25293.163336764
2026-09-15T22:38:52.773844+08:00,2026-09-15T22:38:52.785407+08:00,1789483132773844000,1789483132785407000,11563.000,11.563000,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,3304086,,2824534,,49,0040FB6F7B4C8038E97AB6A844CE07FBAFC683155A5D6C17F9087DC4E66D,2026-09-15T22:38:50.694799+08:00,2026-09-15T22:38:50.940529+08:00,1789483130694798848,1789483130940529152,245730.304,245.730304,-29792.101906790,-25293.163336764
2026-09-15T22:38:53.314769+08:00,2026-09-15T22:38:53.326497+08:00,1789483133314769000,1789483133326497000,11728.000,11.728000,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,3355713,,2876119,,50,0041FE9715E189A0BBA89922BEECD8EEDB79257E993E67D0F1841408BAEB,2026-09-15T22:38:49.156722+08:00,2026-09-15T22:38:49.635781+08:00,1789483129156721920,1789483129635781376,479059.456,479.059456,-29792.101906790,-25293.163336764
2026-09-15T22:38:53.855772+08:00,2026-09-15T22:38:53.867543+08:00,1789483133855772000,1789483133867543000,11771.000,11.771000,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,3407350,,2927719,,51,004280C5D629E63F1F8238250F07A638318EF0A74B756C294816D6DDE808,2026-09-15T22:38:47.618347+08:00,2026-09-15T22:38:48.330654+08:00,1789483127618347264,1789483128330653952,712306.688,712.306688,-29792.101906790,-25293.163336764
2026-09-15T22:38:54.937679+08:00,2026-09-15T22:38:54.950035+08:00,1789483134937679000,1789483134950035000,12356.000,12.356000,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,3510598,,3030900,,52,0044AA31D6A21A1955D0038940DE8D373CED550C51A9F9C655466350193C,2026-09-15T22:38:44.542372+08:00,2026-09-15T22:38:45.720880+08:00,1789483124542372352,1789483125720880128,1178507.776,1178.507776,-29792.101906790,-25293.163336764
2026-09-15T22:38:56.019449+08:00,2026-09-15T22:38:56.032084+08:00,1789483136019449000,1789483136032084000,12635.000,12.635000,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,3613850,,3134073,,53,00466E30A677A9D4E206DE94F9F95C885AA9CEC7010348845D0413E502F3,2026-09-15T22:38:41.466278+08:00,2026-09-15T22:38:43.111309+08:00,1789483121466278144,1789483123111308544,1645030.400,1645.030400,-29792.101906790,-25293.163336764
2026-09-15T22:38:56.560402+08:00,2026-09-15T22:38:56.572194+08:00,1789483136560402000,1789483136572194000,11792.000,11.792000,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,3665481,,3185663,,54,004739A21362CF626DE205D69489EF915E2510AE613DAB201DCBCAD7EABC,2026-09-15T22:38:39.928082+08:00,2026-09-15T22:38:41.806434+08:00,1789483119928082176,1789483121806434304,1878352.128,1878.352128,-29792.101906790,-25293.163336764
2026-09-15T22:38:57.101505+08:00,2026-09-15T22:38:57.113264+08:00,1789483137101505000,1789483137113264000,11759.000,11.759000,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,3717105,,3237254,,55,00480B98A0232D9908415EDF053642588283C3B81B479B148B35A33FD858,2026-09-15T22:38:38.390095+08:00,2026-09-15T22:38:40.501535+08:00,1789483118390094848,1789483120501534720,2111439.872,2111.439872,-29792.101906790,-25293.163336764
2026-09-15T22:38:57.642337+08:00,2026-09-15T22:38:57.654062+08:00,1789483137642337000,1789483137654062000,11725.000,11.725000,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,3768738,,3288851,,56,0049D9E840863270E1A5258C2CA1F49F0829B8D4C52C34FFC7175631EFCB,2026-09-15T22:38:36.851839+08:00,2026-09-15T22:38:39.196483+08:00,1789483116851839232,1789483119196483328,2344644.096,2344.644096,-29792.101906790,-25293.163336764
2026-09-15T22:38:58.724382+08:00,2026-09-15T22:38:58.736166+08:00,1789483138724382000,1789483138736166000,11784.000,11.784000,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,3871987,,3392033,,57,004B977EA63540B1869CFE21A534726CB07F7E435FC491C5AACFB199AA6B,2026-09-15T22:38:33.775834+08:00,2026-09-15T22:38:36.586684+08:00,1789483113775834368,1789483116586684160,2810849.792,2810.849792,-29792.101906790,-25293.163336764
2026-09-15T22:38:59.265515+08:00,2026-09-15T22:38:59.277275+08:00,1789483139265515000,1789483139277275000,11760.000,11.760000,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,3923624,,3443636,,58,004C4ACD4FA0B872C7AD96F4A9C4C43AE5883A816D4790F89FF7491C79F2,2026-09-15T22:38:32.237460+08:00,2026-09-15T22:38:35.281481+08:00,1789483112237459712,1789483115281481216,3044021.504,3044.021504,-29792.101906790,-25293.163336764
2026-09-15T22:38:59.805985+08:00,2026-09-15T22:38:59.818285+08:00,1789483139805985000,1789483139818285000,12300.000,12.300000,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,3975251,,3495217,,59,004DE3D27B719F465BCA10856B6966DCCB9078F04ECE939A2D4004886E8B,2026-09-15T22:38:30.699383+08:00,2026-09-15T22:38:33.976834+08:00,1789483110699382784,1789483113976834304,3277451.520,3277.451520,-29792.101906790,-25293.163336764
2026-09-15T22:39:00.347152+08:00,2026-09-15T22:39:00.359631+08:00,1789483140347152000,1789483140359631000,12479.000,12.479000,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,4026872,,3546808,,60,004E67951295AEE30106F0BEB682F730AAA3886482B870BBF73F53B08924,2026-09-15T22:38:29.161485+08:00,2026-09-15T22:38:32.671935+08:00,1789483109161484800,1789483112671934720,3510449.920,3510.449920,-29792.101906790,-25293.163336764
2026-09-15T22:39:00.888128+08:00,2026-09-15T22:39:00.900763+08:00,1789483140888128000,1789483140900763000,12635.000,12.635000,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,4078500,,3598396,,61,004F346CE3B8C3280D706A475462162FF97FC6EB9C91D48266F40614F914,2026-09-15T22:38:27.623378+08:00,2026-09-15T22:38:31.367111+08:00,1789483107623378176,1789483111367111168,3743732.992,3743.732992,-29792.101906790,-25293.163336764
2026-09-15T22:39:01.429208+08:00,2026-09-15T22:39:01.441736+08:00,1789483141429208000,1789483141441736000,12528.000,12.528000,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,4130127,,3649986,,62,005054BA19AA771B17B536CE013A70748BBCE890BC7BD32D586C232E11FB,2026-09-15T22:38:26.085301+08:00,2026-09-15T22:38:30.062237+08:00,1789483106085301248,1789483110062236928,3976935.680,3976.935680,-29792.101906790,-25293.163336764
2026-09-15T22:39:01.970053+08:00,2026-09-15T22:39:01.982858+08:00,1789483141970053000,1789483141982858000,12805.000,12.805000,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,4181764,,3701589,,63,005191736C836DB17489250E22BC977F87AD16E2BF4E3EDA962C786EF76C,2026-09-15T22:38:24.546926+08:00,2026-09-15T22:38:28.757034+08:00,1789483104546926336,1789483108757033728,4210107.392,4210.107392,-29792.101906790,-25293.163336764
2026-09-15T22:39:02.511124+08:00,2026-09-15T22:39:02.522777+08:00,1789483142511124000,1789483142522777000,11653.000,11.653000,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,4233388,,3753171,,64,00524C6119876A4F67C5768C337B96BC1B04BD323780B609084FF005204C,2026-09-15T22:38:23.008939+08:00,2026-09-15T22:38:27.452362+08:00,1789483103008939008,1789483107452361728,4443422.720,4443.422720,-29792.101906790,-25293.163336764
2026-09-15T22:39:03.052108+08:00,2026-09-15T22:39:03.064125+08:00,1789483143052108000,1789483143064125000,12017.000,12.017000,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,4285021,,3804759,,65,00530C2791C92712164FE72004124743EE36239E1BC483DFA96AA7627DF6,2026-09-15T22:38:21.470683+08:00,2026-09-15T22:38:26.147538+08:00,1789483101470683392,1789483106147538176,4676854.784,4676.854784,-29792.101906790,-25293.163336764
2026-09-15T22:39:04.134168+08:00,2026-09-15T22:39:04.146057+08:00,1789483144134168000,1789483144146057000,11889.000,11.889000,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,4388270,,3907925,,66,00554165377DC9DAA3B461DF147A53CF537231837EADA228B7EBEEDB8F90,2026-09-15T22:38:18.394679+08:00,2026-09-15T22:38:23.538143+08:00,1789483098394678528,1789483103538143488,5143464.960,5143.464960,-29792.101906790,-25293.163336764
2026-09-15T22:39:04.675062+08:00,2026-09-15T22:39:04.687079+08:00,1789483144675062000,1789483144687079000,12017.000,12.017000,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,4439904,,3959513,,67,005647093167DD894E1AA076CC6DD3CE2E3E55CCC13DAE058C6BDC44F554,2026-09-15T22:38:16.856393+08:00,2026-09-15T22:38:22.233320+08:00,1789483096856393216,1789483102233319936,5376926.720,5376.926720,-29792.101906790,-25293.163336764
2026-09-15T22:39:05.216239+08:00,2026-09-15T22:39:05.228501+08:00,1789483145216239000,1789483145228501000,12262.000,12.262000,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,4491528,,4011101,,68,0057DC27330BF77677EAD146DA0733D205759314A23F69278625315C9B14,2026-09-15T22:38:15.318406+08:00,2026-09-15T22:38:20.928496+08:00,1789483095318405888,1789483100928496128,5610090.240,5610.090240,-29792.101906790,-25293.163336764
2026-09-15T22:39:05.756988+08:00,2026-09-15T22:39:05.769317+08:00,1789483145756988000,1789483145769317000,12329.000,12.329000,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,4543162,,4062685,,69,00583E1E8F6745863EE0A5BDE0647715F27A5AE6E582FB2A89B567D838E0,2026-09-15T22:38:13.780120+08:00,2026-09-15T22:38:19.623774+08:00,1789483093780120320,1789483099623773696,5843653.376,5843.653376,-29792.101906790,-25293.163336764
2026-09-15T22:39:06.298130+08:00,2026-09-15T22:39:06.314437+08:00,1789483146298130000,1789483146314437000,16307.000,16.307000,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,4594786,,4114264,,70,00591001C2E0A0AB1CDC8171C74529D7028F266EAFACEDAB054D6288FBD7,2026-09-15T22:38:12.242133+08:00,2026-09-15T22:38:18.319177+08:00,1789483092242132992,1789483098319177472,6077044.480,6077.044480,-29792.101906790,-25293.163336764
2026-09-15T22:39:06.838932+08:00,2026-09-15T22:39:06.851445+08:00,1789483146838932000,1789483146851445000,12513.000,12.513000,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,4646410,,4165852,,71,005A27D87027A56B1A06DBE5356BE95FE7735BBB752136C728D5C519FD8E,2026-09-15T22:38:10.704145+08:00,2026-09-15T22:38:17.014354+08:00,1789483090704145408,1789483097014353920,6310208.512,6310.208512,-29792.101906790,-25293.163336764
2026-09-15T22:39:07.380016+08:00,2026-09-15T22:39:07.392790+08:00,1789483147380016000,1789483147392790000,12774.000,12.774000,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,4698053,,4217448,,72,005B20A40FDF811EC5B24612BBC0C5C472CCD4C8B6A21361D3D3009A772D,2026-09-15T22:38:09.165592+08:00,2026-09-15T22:38:15.709328+08:00,1789483089165592064,1789483095709327872,6543735.808,6543.735808,-29792.101906790,-25293.163336764
2026-09-15T22:39:08.462137+08:00,2026-09-15T22:39:08.474505+08:00,1789483148462137000,1789483148474505000,12368.000,12.368000,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,4801305,,4320630,,73,005DDA5FB1ECA0CDD45102FC807D645E297511F937CC0B4EB6E493EEC0E3,2026-09-15T22:38:06.089498+08:00,2026-09-15T22:38:13.099529+08:00,1789483086089497856,1789483093099528704,7010030.848,7010.030848,-29792.101906790,-25293.163336764
2026-09-15T22:39:09.003127+08:00,2026-09-15T22:39:09.015359+08:00,1789483149003127000,1789483149015359000,12232.000,12.232000,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,4852932,,4372221,,74,005E77D5AA771E8DF14A5403E344D6280D849D47681CEB29428E16EAEE0A,2026-09-15T22:38:04.551421+08:00,2026-09-15T22:38:11.794629+08:00,1789483084551420928,1789483091794629120,7243208.192,7243.208192,-29792.101906790,-25293.163336764
2026-09-15T22:39:10.085143+08:00,2026-09-15T22:39:10.097589+08:00,1789483150085143000,1789483150097589000,12446.000,12.446000,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,4956190,,4475402,,75,0060320BA9E37FA1A4C813F3493B4105DEC3810240E4FBD44617D585F68D,2026-09-15T22:38:01.475148+08:00,2026-09-15T22:38:09.184855+08:00,1789483081475148032,1789483089184855040,7709707.008,7709.707008,-29792.101906790,-25293.163336764
2026-09-15T22:39:10.626160+08:00,2026-09-15T22:39:10.638630+08:00,1789483150626160000,1789483150638630000,12470.000,12.470000,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,5007817,,4526993,,76,00613D596AA435A78026227B454412EE1F55D040BC4EAABABE00FD462315,2026-09-15T22:37:59.937071+08:00,2026-09-15T22:38:07.879956+08:00,1789483079937071360,1789483087879955456,7942884.096,7942.884096,-29792.101906790,-25293.163336764
