tx_time,rx_time,tx_time_ns,rx_time_ns,latency_us,latency_ms,tx_port,rx_port,tx_local_tick,tx_local_us,rx_local_tick,rx_local_us,rx_seq,data_hex,tx_world_time,rx_world_time,tx_world_time_ns,rx_world_time_ns,physical_latency_us,physical_latency_ms,tx_ns_per_tick,rx_ns_per_tick
2026-09-15T22:40:05.882171+08:00,2026-09-15T22:40:05.894103+08:00,1.78948E+18,1.78948E+18,11932,11.932,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,1084044,,86961,,1,0015895DF46E4ACCB5547EF115C8A0998F5C700BEF14C6E50A9C19B41D4C,2026-09-15T22:40:05.882171+08:00,2026-09-15T22:40:05.894103+08:00,1.78948E+18,1.78948E+18,11932.16,11.93216,10487.4812,10478.90127
2026-09-15T22:40:06.965174+08:00,2026-09-15T22:40:06.976447+08:00,1.78948E+18,1.78948E+18,11273,11.273,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,1187298,,190313,,2,0017B5E0EB72841A8E42141D8A6E5F923AFB0BE5F6E4C09F45D62A83BFB1,2026-09-15T22:40:06.965045+08:00,2026-09-15T22:40:06.977118+08:00,1.78948E+18,1.78948E+18,12073.216,12.073216,10487.4812,10478.90127
2026-09-15T22:40:07.506607+08:00,2026-09-15T22:40:07.517690+08:00,1.78948E+18,1.78948E+18,11083,11.083,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,1238923,,241989,,3,0018CD6AC4BF8CDEDFB2F779F76057FC3B3D7B2ECB9C417B27A5E3485815,2026-09-15T22:40:07.506461+08:00,2026-09-15T22:40:07.518626+08:00,1.78948E+18,1.78948E+18,12164.608,12.164608,10487.4812,10478.90127
2026-09-15T22:40:08.047930+08:00,2026-09-15T22:40:08.059139+08:00,1.78948E+18,1.78948E+18,11209,11.209,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,1290550,,293653,,4,00190717E0B9855F63A8F6291243006ADBEE6424528BC43B5DBB3518A2D3,2026-09-15T22:40:08.047899+08:00,2026-09-15T22:40:08.060008+08:00,1.78948E+18,1.78948E+18,12109.568,12.109568,10487.4812,10478.90127
2026-09-15T22:40:08.589506+08:00,2026-09-15T22:40:08.600100+08:00,1.78948E+18,1.78948E+18,10594,10.594,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,1342178,,345317,,5,001A89FFB2A05930F2DBD5C14D6A4B369C5D78E6D0A3920DE59011B0860F,2026-09-15T22:40:08.589346+08:00,2026-09-15T22:40:08.601390+08:00,1.78948E+18,1.78948E+18,12043.776,12.043776,10487.4812,10478.90127
2026-09-15T22:40:10.213717+08:00,2026-09-15T22:40:10.228055+08:00,1.78948E+18,1.78948E+18,14338,14.338,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,1497054,,500288,,6,001DB004E19E18B3003AFECBC41CF72B50387E4EBB13C520C3FE3DA4300F,2026-09-15T22:40:10.213605+08:00,2026-09-15T22:40:10.225316+08:00,1.78948E+18,1.78948E+18,11710.464,11.710464,10487.4812,10478.90127
2026-09-15T22:40:10.755192+08:00,2026-09-15T22:40:10.767459+08:00,1.78948E+18,1.78948E+18,12267,12.267,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,1548687,,551961,,7,001EE4470AE452017A17813180805F355A2D15CCB022152D80D1E6E4CC58,2026-09-15T22:40:10.755105+08:00,2026-09-15T22:40:10.766792+08:00,1.78948E+18,1.78948E+18,11686.656,11.686656,10487.4812,10478.90127
2026-09-15T22:40:11.296744+08:00,2026-09-15T22:40:11.308733+08:00,1.78948E+18,1.78948E+18,11989,11.989,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,1600314,,603616,,8,001FAF6F057D859C356A74A0F0284FF7F9DC3800B3C4EE544EF1D9EAADC2,2026-09-15T22:40:11.296543+08:00,2026-09-15T22:40:11.308080+08:00,1.78948E+18,1.78948E+18,11537.152,11.537152,10487.4812,10478.90127
2026-09-15T22:40:11.838287+08:00,2026-09-15T22:40:11.849635+08:00,1.78948E+18,1.78948E+18,11348,11.348,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,1651936,,655271,,9,0020D7EB1924C456A88BCB546BAF70585A0759FE0006DFA1E61859BAC15B,2026-09-15T22:40:11.837927+08:00,2026-09-15T22:40:11.849367+08:00,1.78948E+18,1.78948E+18,11439.872,11.439872,10487.4812,10478.90127
2026-09-15T22:40:12.379803+08:00,2026-09-15T22:40:12.390741+08:00,1.78948E+18,1.78948E+18,10938,10.938,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,1703569,,706947,,10,002123FC5B1E7030421AD4D032729066426C9DA2D1ED773E30B6AE920D61,2026-09-15T22:40:12.379428+08:00,2026-09-15T22:40:12.390875+08:00,1.78948E+18,1.78948E+18,11447.552,11.447552,10487.4812,10478.90127
