tx_time,rx_time,tx_time_ns,rx_time_ns,latency_us,latency_ms,tx_port,rx_port,tx_local_tick,tx_local_us,rx_local_tick,rx_local_us,rx_seq,data_hex
2026-09-15T22:38:52.232816+08:00,2026-09-15T22:38:52.245277+08:00,1789483132232816000,1789483132245277000,12461.000,12.461000,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,3252461,,2772949,,48,003F02019A02B2DCF0BABA2B717454B18BDD8B95CA3A85BA032494DC4403
2026-09-15T22:38:52.773844+08:00,2026-09-15T22:38:52.785407+08:00,1789483132773844000,1789483132785407000,11563.000,11.563000,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,3304086,,2824534,,49,0040FB6F7B4C8038E97AB6A844CE07FBAFC683155A5D6C17F9087DC4E66D
2026-09-15T22:38:53.314769+08:00,2026-09-15T22:38:53.326497+08:00,1789483133314769000,1789483133326497000,11728.000,11.728000,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,3355713,,2876119,,50,0041FE9715E189A0BBA89922BEECD8EEDB79257E993E67D0F1841408BAEB
2026-09-15T22:38:53.855772+08:00,2026-09-15T22:38:53.867543+08:00,1789483133855772000,1789483133867543000,11771.000,11.771000,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,3407350,,2927719,,51,004280C5D629E63F1F8238250F07A638318EF0A74B756C294816D6DDE808
2026-09-15T22:38:54.937679+08:00,2026-09-15T22:38:54.950035+08:00,1789483134937679000,1789483134950035000,12356.000,12.356000,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,3510598,,3030900,,52,0044AA31D6A21A1955D0038940DE8D373CED550C51A9F9C655466350193C
2026-09-15T22:38:56.019449+08:00,2026-09-15T22:38:56.032084+08:00,1789483136019449000,1789483136032084000,12635.000,12.635000,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,3613850,,3134073,,53,00466E30A677A9D4E206DE94F9F95C885AA9CEC7010348845D0413E502F3
2026-09-15T22:38:56.560402+08:00,2026-09-15T22:38:56.572194+08:00,1789483136560402000,1789483136572194000,11792.000,11.792000,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,3665481,,3185663,,54,004739A21362CF626DE205D69489EF915E2510AE613DAB201DCBCAD7EABC
2026-09-15T22:38:57.101505+08:00,2026-09-15T22:38:57.113264+08:00,1789483137101505000,1789483137113264000,11759.000,11.759000,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,3717105,,3237254,,55,00480B98A0232D9908415EDF053642588283C3B81B479B148B35A33FD858
2026-09-15T22:38:57.642337+08:00,2026-09-15T22:38:57.654062+08:00,1789483137642337000,1789483137654062000,11725.000,11.725000,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,3768738,,3288851,,56,0049D9E840863270E1A5258C2CA1F49F0829B8D4C52C34FFC7175631EFCB
2026-09-15T22:38:58.724382+08:00,2026-09-15T22:38:58.736166+08:00,1789483138724382000,1789483138736166000,11784.000,11.784000,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,3871987,,3392033,,57,004B977EA63540B1869CFE21A534726CB07F7E435FC491C5AACFB199AA6B
