tx_time,rx_time,tx_time_ns,rx_time_ns,latency_us,latency_ms,tx_port,rx_port,tx_local_tick,tx_local_us,rx_local_tick,rx_local_us,rx_seq,data_hex
2026-09-15T22:40:05.882171+08:00,2026-09-15T22:40:05.894103+08:00,1789483205882171000,1789483205894103000,11932.000,11.932000,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,1084044,,86961,,1,0015895DF46E4ACCB5547EF115C8A0998F5C700BEF14C6E50A9C19B41D4C
2026-09-15T22:40:06.965174+08:00,2026-09-15T22:40:06.976447+08:00,1789483206965174000,1789483206976447000,11273.000,11.273000,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,1187298,,190313,,2,0017B5E0EB72841A8E42141D8A6E5F923AFB0BE5F6E4C09F45D62A83BFB1
2026-09-15T22:40:07.506607+08:00,2026-09-15T22:40:07.517690+08:00,1789483207506607000,1789483207517690000,11083.000,11.083000,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,1238923,,241989,,3,0018CD6AC4BF8CDEDFB2F779F76057FC3B3D7B2ECB9C417B27A5E3485815
2026-09-15T22:40:08.047930+08:00,2026-09-15T22:40:08.059139+08:00,1789483208047930000,1789483208059139000,11209.000,11.209000,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,1290550,,293653,,4,00190717E0B9855F63A8F6291243006ADBEE6424528BC43B5DBB3518A2D3
2026-09-15T22:40:08.589506+08:00,2026-09-15T22:40:08.600100+08:00,1789483208589506000,1789483208600100000,10594.000,10.594000,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,1342178,,345317,,5,001A89FFB2A05930F2DBD5C14D6A4B369C5D78E6D0A3920DE59011B0860F
2026-09-15T22:40:10.213717+08:00,2026-09-15T22:40:10.228055+08:00,1789483210213717000,1789483210228055000,14338.000,14.338000,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,1497054,,500288,,6,001DB004E19E18B3003AFECBC41CF72B50387E4EBB13C520C3FE3DA4300F
2026-09-15T22:40:10.755192+08:00,2026-09-15T22:40:10.767459+08:00,1789483210755192000,1789483210767459000,12267.000,12.267000,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,1548687,,551961,,7,001EE4470AE452017A17813180805F355A2D15CCB022152D80D1E6E4CC58
2026-09-15T22:40:11.296744+08:00,2026-09-15T22:40:11.308733+08:00,1789483211296744000,1789483211308733000,11989.000,11.989000,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,1600314,,603616,,8,001FAF6F057D859C356A74A0F0284FF7F9DC3800B3C4EE544EF1D9EAADC2
2026-09-15T22:40:11.838287+08:00,2026-09-15T22:40:11.849635+08:00,1789483211838287000,1789483211849635000,11348.000,11.348000,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,1651936,,655271,,9,0020D7EB1924C456A88BCB546BAF70585A0759FE0006DFA1E61859BAC15B
2026-09-15T22:40:12.379803+08:00,2026-09-15T22:40:12.390741+08:00,1789483212379803000,1789483212390741000,10938.000,10.938000,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,1703569,,706947,,10,002123FC5B1E7030421AD4D032729066426C9DA2D1ED773E30B6AE920D61
2026-09-15T22:40:12.921145+08:00,2026-09-15T22:40:12.932074+08:00,1789483212921145000,1789483212932074000,10929.000,10.929000,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,1755194,,758623,,11,00222EF6A21A49DBA11D89A8DEF23856BA6BABCA535A53F66D1381AE1FA5
