tx_time,rx_time,tx_time_ns,rx_time_ns,latency_us,latency_ms,tx_port,rx_port,rx_seq,data_hex
2026-09-15T21:01:19.861965+08:00,2026-09-15T21:01:19.892457+08:00,1.78948E+18,1.78948E+18,30492,30.492,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,1508,05EF7CB2C1FC373964E38724350AA084FD4C498A63D826E619F3C3E0C873
2026-09-15T21:01:20.404377+08:00,2026-09-15T21:01:20.433695+08:00,1.78948E+18,1.78948E+18,29318,29.318,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,1509,05F06037BCF77FBC4FE72EAE172F14D4CFBA3E5D06B0A777897089B1914C
2026-09-15T21:01:20.946491+08:00,2026-09-15T21:01:20.964843+08:00,1.78948E+18,1.78948E+18,18352,18.352,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,1510,05F16611AD07D5F56D100DAAD47B33CE7BC36366854180BE466BBC04B2CE
2026-09-15T21:01:21.488627+08:00,2026-09-15T21:01:21.518519+08:00,1.78948E+18,1.78948E+18,29892,29.892,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,1511,05F2E6A387C977613A0F5A37A3DA7FF467F01E902957CB5170D73FA05634
2026-09-15T21:01:22.030960+08:00,2026-09-15T21:01:22.049748+08:00,1.78948E+18,1.78948E+18,18788,18.788,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,1512,05F3E0A8F62815B493224C4589C1C8F6F40F2B10227EC7EDB9A3A50DA8B4
2026-09-15T21:01:22.573071+08:00,2026-09-15T21:01:22.603490+08:00,1.78948E+18,1.78948E+18,30419,30.419,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,1513,05F451FACEC26CDC6DB7EFDA4D0F3F37B056F629F9656B791B5C07DCC25E
2026-09-15T21:01:23.115282+08:00,2026-09-15T21:01:23.134755+08:00,1.78948E+18,1.78948E+18,19473,19.473,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,1514,05F54713441090C446CFB6162EB34B104C48A7AFC707BCC9499697A46AC4
2026-09-15T21:01:23.657408+08:00,2026-09-15T21:01:23.687500+08:00,1.78948E+18,1.78948E+18,30092,30.092,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,1515,05F6B555DD420BDA5D22D3F7551118D15255004B2985DD24E80AF2CD7D58
2026-09-15T21:01:24.199627+08:00,2026-09-15T21:01:24.218778+08:00,1.78948E+18,1.78948E+18,19151,19.151,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,1516,05F7050B28EDA951A20648DB0B24F28A9442E982F1D3E8857C7D370E2998
2026-09-15T21:01:24.741783+08:00,2026-09-15T21:01:24.772520+08:00,1.78948E+18,1.78948E+18,30737,30.737,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,1517,05F8702D2D650E266D0EBBC7A962568D654CC6769B1881A42266DAB6DCEA
2026-09-15T21:01:25.284019+08:00,2026-09-15T21:01:25.303714+08:00,1.78948E+18,1.78948E+18,19695,19.695,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,1518,05F90FE6A3E90EE2F1730B6C5161C3B0890D8D6884D425B2014D38ACFE46
2026-09-15T21:01:25.826353+08:00,2026-09-15T21:01:25.856428+08:00,1.78948E+18,1.78948E+18,30075,30.075,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,1519,05FAAFD5E282BC236D35A5E4603B5355EC1C9903DBC145E580F2E9365F97
2026-09-15T21:01:26.368399+08:00,2026-09-15T21:01:26.387695+08:00,1.78948E+18,1.78948E+18,19296,19.296,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,1520,05FB67149DAB3DDB26FF963EA0B40C2913763E5A557816B93634D77C70E0
2026-09-15T21:01:26.910711+08:00,2026-09-15T21:01:26.940588+08:00,1.78948E+18,1.78948E+18,29877,29.877,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,1521,05FCE9FC4DAF645416CC5EBE3F17F5AE549D1BACA1DA24F2A4AE11C9341F
2026-09-15T21:01:27.452715+08:00,2026-09-15T21:01:27.471855+08:00,1.78948E+18,1.78948E+18,19140,19.14,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,1522,05FD9AA46ED4FDF9634D89E382E3E979C78331ECA02AAA62A4205E96F3F4
2026-09-15T21:01:27.994817+08:00,2026-09-15T21:01:28.024582+08:00,1.78948E+18,1.78948E+18,29765,29.765,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,1523,05FE622C6B3BE6D58F07FD2738292D39F927B60153FCA36F9E929245B200
2026-09-15T21:01:28.536973+08:00,2026-09-15T21:01:28.555786+08:00,1.78948E+18,1.78948E+18,18813,18.813,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,1524,05FF42BD5883E1D9733E1388EEB1C27D65FBA8CF92D09D517E38A2AF640D
2026-09-15T21:01:29.079074+08:00,2026-09-15T21:01:29.109656+08:00,1.78948E+18,1.78948E+18,30582,30.582,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,1525,0600A94D63322ADFEC9366C8E6E17934A10B23F4817B531C6715775EDEF0
2026-09-15T21:01:29.621298+08:00,2026-09-15T21:01:29.640844+08:00,1.78948E+18,1.78948E+18,19546,19.546,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,1526,060185250AD2C971516E6D75C65CCAF25ADC7151C14BF783256184998D30
2026-09-15T21:01:30.163719+08:00,2026-09-15T21:01:30.193611+08:00,1.78948E+18,1.78948E+18,29892,29.892,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,1527,06021B220CDCA748A91BC9A9126B63F7FF16E44E67E7525866AA1923E965
2026-09-15T21:01:30.705733+08:00,2026-09-15T21:01:30.724876+08:00,1.78948E+18,1.78948E+18,19143,19.143,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,1528,060395BD1F5761959FB45D91591E81EE3EE365DCAFF98CD5A7BA74C1A75F
2026-09-15T21:01:31.247704+08:00,2026-09-15T21:01:31.277761+08:00,1.78948E+18,1.78948E+18,30057,30.057,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,1529,06045ECB653EDD0133C421AE313000773215C9386F8DC99CEE3D9A7EB00D
2026-09-15T21:01:31.790163+08:00,2026-09-15T21:01:31.809073+08:00,1.78948E+18,1.78948E+18,18910,18.91,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,1530,06052F039DA49F7330A6B4DCE2AD33655808E9734B367A7D3B20E9B0D31A
2026-09-15T21:01:32.332241+08:00,2026-09-15T21:01:32.362739+08:00,1.78948E+18,1.78948E+18,30498,30.498,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,1531,0606E6421B98DB9660B0B514E35473C6444B6FB3ACF46FFCBDBA6BB83B56
2026-09-15T21:01:32.874436+08:00,2026-09-15T21:01:32.893802+08:00,1.78948E+18,1.78948E+18,19366,19.366,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,1532,06071C8F77C849187F13D0F307BB77A616FF703870D6AE8FC6ACEA8AA0D9
2026-09-15T21:01:33.416587+08:00,2026-09-15T21:01:33.446768+08:00,1.78948E+18,1.78948E+18,30181,30.181,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,1533,060874DE06E6BAB1F27E99F875366791ABFCBD20606105A97F87C7F23EE7
2026-09-15T21:01:33.958687+08:00,2026-09-15T21:01:33.978018+08:00,1.78948E+18,1.78948E+18,19331,19.331,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,1534,0609B2960BCB6DE935871B8F5B76B0DB95B8F7E964AD5F7A5A3089928994
2026-09-15T21:01:34.500918+08:00,2026-09-15T21:01:34.531771+08:00,1.78948E+18,1.78948E+18,30853,30.853,/dev/cu.usbserial-1120,/dev/cu.usbserial-A50285BI,1535,060A92D3AC5F209817C92ED160F298A1CBE765B97753D872490535AD9C25
