event,T0_tx_rise_s,T1_rx1_rise_s,T2_rx2_rise_s,T1-T0_us,T2-T0_us,T2-T1_us,status
86,46.479070490,46.487481930,46.487480460,8411.440,8409.970,1.470,ok
87,47.021148540,47.029552890,47.029554290,8404.350,8405.750,1.400,ok
88,47.563207960,47.571613990,47.571612580,8406.030,8404.620,1.410,ok
89,48.105330790,48.113680100,48.113681660,8349.310,8350.870,1.560,ok
90,48.647353500,48.655756100,48.655755270,8402.600,8401.770,0.830,ok
91,49.189407120,49.197812190,49.197808860,8405.070,8401.740,3.330,ok
92,49.731549500,49.739968540,49.739972450,8419.040,8422.950,3.910,ok
93,50.273573950,,50.281976130,,8402.180,,missing_rx1
94,50.815562990,50.823966890,,8403.900,,,missing_rx2
95,51.357680230,51.366083240,51.366083030,8403.010,8402.800,0.210,ok
96,51.899737640,51.908139430,51.908141720,8401.790,8404.080,2.290,ok
97,52.441754670,52.450160550,52.450160570,8405.880,8405.900,0.020,ok
98,52.983840580,52.992251200,52.992254240,8410.620,8413.660,3.040,ok
99,53.525865280,53.534267140,53.534268050,8401.860,8402.770,0.910,ok
100,54.067885780,54.076288630,54.076291300,8402.850,8405.520,2.670,ok
101,54.610015290,54.618424850,54.618405080,8409.560,8389.790,19.770,ok
102,55.152108570,55.160510880,55.160513640,8402.310,8405.070,2.760,ok
103,55.694117510,55.702522150,55.702522150,8404.640,8404.640,0.000,ok
104,56.236250910,56.244653150,56.244627040,8402.240,8376.130,26.110,ok
105,56.778331730,56.786734290,56.786734780,8402.560,8403.050,0.490,ok
106,57.320393200,57.328761380,57.328798310,8368.180,8405.110,36.930,ok
107,57.862495680,57.870876060,57.870943340,8380.380,8447.660,67.280,ok
108,58.404591620,58.413002540,58.413005620,8410.920,8414.000,3.080,ok
109,58.946659670,58.955063330,58.955064640,8403.660,8404.970,1.310,ok
110,59.488788630,59.497169350,59.497234110,8380.720,8445.480,64.760,ok
111,60.030773720,60.039175660,60.039176470,8401.940,8402.750,0.810,ok
112,60.572887110,60.581296910,60.581294590,8409.800,8407.480,2.320,ok
113,61.115071120,61.123482560,61.123483520,8411.440,8412.400,0.960,ok
114,61.657166300,61.665568530,61.665572270,8402.230,8405.970,3.740,ok
115,62.199209000,62.207629780,62.207625860,8420.780,8416.860,3.920,ok
116,62.741337170,62.749751190,62.749749540,8414.020,8412.370,1.650,ok
117,63.283431700,63.291836960,63.291832940,8405.260,8401.240,4.020,ok
118,63.825504780,63.833908190,63.833906800,8403.410,8402.020,1.390,ok
119,64.367642290,64.376049220,64.376050630,8406.930,8408.340,1.410,ok
120,64.909729390,64.918130350,64.918129150,8400.960,8399.760,1.200,ok
121,65.451740500,65.460141550,65.460142160,8401.050,8401.660,0.610,ok
122,65.993856480,66.002262680,66.002261430,8406.200,8404.950,1.250,ok
123,66.535874850,66.544278160,66.544279550,8403.310,8404.700,1.390,ok
124,67.077941390,67.086344500,67.086343460,8403.110,8402.070,1.040,ok
125,67.620098510,67.628562620,67.628516870,8464.110,8418.360,45.750,ok
126,68.162161770,68.170566790,68.170565650,8405.020,8403.880,1.140,ok
127,68.704166910,68.712572780,68.712569450,8405.870,8402.540,3.330,ok
128,69.246325320,69.254728670,69.254728000,8403.350,8402.680,0.670,ok
129,69.788438670,69.796839610,69.796841660,8400.940,8402.990,2.050,ok
