Time [s],Tx,Rx1,Rx2
0.000000000,0,0,0
0.403219060,1,0,0
0.411341620,0,0,0
0.411625180,0,1,0
0.411625800,0,1,1
0.411644580,0,0,1
0.411645170,0,0,0
0.945347830,1,0,0
0.953476560,0,0,0
0.953759820,0,0,1
0.953761430,0,1,1
0.953779150,0,1,0
0.953780930,0,0,0
1.487424600,1,0,0
1.495545180,0,0,0
1.495828100,0,1,0
1.495828270,0,1,1
1.495847470,0,0,1
1.495847620,0,0,0
2.029437260,1,0,0
2.037557990,0,0,0
2.037839350,0,1,0
2.037839720,0,1,1
2.037858680,0,0,1
2.037859100,0,0,0
2.571577800,1,0,0
2.579713940,0,0,0
3.113677930,1,0,0
3.121798110,0,0,0
3.122076590,0,1,0
3.122079820,0,1,1
3.122096000,0,0,1
3.122099280,0,0,0
3.655703880,1,0,0
3.663825490,0,0,0
3.664108380,0,1,0
3.664109380,0,1,1
3.664127800,0,0,1
3.664128790,0,0,0
4.197798850,1,0,0
4.205918890,0,0,0
4.206203170,0,0,1
4.206204750,0,1,1
4.206222500,0,1,0
4.206224170,0,0,0
4.739848810,1,0,0
4.747971420,0,0,0
4.748246990,0,0,1
4.748251070,0,1,1
4.748266460,0,1,0
4.748270530,0,0,0
5.281884180,1,0,0
5.290007750,0,0,0
5.290287210,0,1,0
5.290291120,0,1,1
5.290306600,0,0,1
5.290310490,0,0,0
5.823952500,1,0,0
5.832082670,0,0,0
5.832363910,0,1,0
5.832365020,0,1,1
5.832383280,0,0,1
5.832384350,0,0,0
6.366006830,1,0,0
6.374127500,0,0,0
6.374408830,0,0,1
6.374409810,0,1,1
6.374428120,0,1,0
6.374429230,0,0,0
6.908004430,1,0,0
6.916126110,0,0,0
6.916406390,0,1,0
6.916408210,0,1,1
6.916425800,0,0,1
6.916427580,0,0,0
7.450103050,1,0,0
7.458239780,0,0,0
7.458522660,0,1,0
7.458525790,0,1,1
7.458542080,0,0,1
7.458545200,0,0,0
7.992144980,1,0,0
8.000267570,0,0,0
8.000548860,0,1,0
8.000550280,0,1,1
8.000568280,0,0,1
8.000569700,0,0,0
8.534191870,1,0,0
8.542313160,0,0,0
8.542594270,0,0,1
8.542594930,0,1,1
8.542613680,0,1,0
8.542614310,0,0,0
9.076267970,1,0,0
9.084366340,0,0,0
9.084646580,0,1,0
9.084648350,0,1,1
9.084666040,0,0,1
9.084667740,0,0,0
9.618300070,1,0,0
9.626422500,0,0,0
9.626701860,0,0,1
9.626702840,0,1,1
9.626721300,0,1,0
9.626722220,0,0,0
10.160298030,1,0,0
10.168419530,0,0,0
10.168689210,0,1,0
10.168700700,0,1,1
10.168708580,0,0,1
10.168720070,0,0,0
10.702402180,1,0,0
10.710524470,0,0,0
10.710804790,0,0,1
10.710805530,0,1,1
10.710824180,0,1,0
10.710824950,0,0,0
11.244449020,1,0,0
11.252570710,0,0,0
11.252851880,0,1,0
11.252852990,0,1,1
11.252871260,0,0,1
11.252872360,0,0,0
11.786494280,1,0,0
11.794615090,0,0,0
11.794897100,0,0,1
11.794897680,0,1,1
11.794916500,0,1,0
11.794916970,0,0,0
