event,T0_tx_rise_s,T1_rx1_rise_s,T2_rx2_rise_s,T1-T0_us,T2-T0_us,T2-T1_us,status
86,46.587472340,46.595878190,46.595873670,8405.850,8401.330,4.520,ok
87,47.129458030,47.137864180,47.137862210,8406.150,8404.180,1.970,ok
88,47.671540120,47.679955220,47.679951360,8415.100,8411.240,3.860,ok
89,48.213506380,48.221911290,48.221910110,8404.910,8403.730,1.180,ok
90,48.755489450,48.763892530,48.763893250,8403.080,8403.800,0.720,ok
91,49.297558600,49.305968560,49.305972420,8409.960,8413.820,3.860,ok
92,49.839586290,49.847989570,49.847986000,8403.280,8399.710,3.570,ok
93,50.381596100,50.390000950,50.389999750,8404.850,8403.650,1.200,ok
94,50.923700400,50.932081780,50.932083490,8381.380,8383.090,1.710,ok
95,51.465709870,51.474113330,51.474112090,8403.460,8402.220,1.240,ok
96,52.007739850,52.016144490,52.016145770,8404.640,8405.920,1.280,ok
97,52.549830640,52.558193600,52.558244380,8362.960,8413.740,50.780,ok
98,53.091866970,53.100271560,53.100268290,8404.590,8401.320,3.270,ok
99,53.633846650,53.642247910,53.642251710,8401.260,8405.060,3.800,ok
100,54.175933620,54.184338670,54.184393430,8405.050,8459.810,54.760,ok
101,54.717899510,54.726305140,54.726304100,8405.630,8404.590,1.040,ok
102,55.259810450,55.268216330,55.268212900,8405.880,8402.450,3.430,ok
103,55.801891320,55.810302230,55.810306860,8410.910,8415.540,4.630,ok
104,56.343875350,56.352261450,56.352275190,8386.100,8399.840,13.740,ok
105,56.885813370,56.894219430,56.894218740,8406.060,8405.370,0.690,ok
106,57.427867090,57.436280780,57.436277630,8413.690,8410.540,3.150,ok
107,57.969839650,57.978241820,57.978241340,8402.170,8401.690,0.480,ok
108,58.511883120,58.520287930,58.520284380,8404.810,8401.260,3.550,ok
109,59.053968350,59.062379290,59.062408580,8410.940,8440.230,29.290,ok
110,59.595977230,59.604380200,59.604382240,8402.970,8405.010,2.040,ok
111,60.138010730,60.146407020,60.146420530,8396.290,8409.800,13.510,ok
112,60.680112420,60.688522580,60.688524460,8410.160,8412.040,1.880,ok
113,61.222083570,61.230488500,61.230488080,8404.930,8404.510,0.420,ok
114,61.764082670,61.772494770,61.772496900,8412.100,8414.230,2.130,ok
115,62.306185730,62.314611060,62.314615580,8425.330,8429.850,4.520,ok
116,62.848210100,62.856612240,62.856613180,8402.140,8403.080,0.940,ok
117,63.390207220,63.398613470,63.398612980,8406.250,8405.760,0.490,ok
118,63.932239980,63.940654070,63.940651530,8414.090,8411.550,2.540,ok
119,64.474252580,64.482665350,64.482665310,8412.770,8412.730,0.040,ok
120,65.016192070,65.024596620,65.024593840,8404.550,8401.770,2.780,ok
121,65.558294960,65.566707550,65.566707580,8412.590,8412.620,0.030,ok
122,66.100294390,66.108698870,66.108696320,8404.480,8401.930,2.550,ok
123,66.642234190,66.650650010,66.650654550,8415.820,8420.360,4.540,ok
124,67.184311440,67.192726000,67.192722980,8414.560,8411.540,3.020,ok
125,67.726330540,67.734731940,67.734732080,8401.400,8401.540,0.140,ok
126,68.268319670,68.276722970,68.276720830,8403.300,8401.160,2.140,ok
127,68.810264320,68.818669100,68.818668290,8404.780,8403.970,0.810,ok
128,69.352236530,69.360640420,69.360638120,8403.890,8401.590,2.300,ok
129,69.894146200,69.902551300,69.902551580,8405.100,8405.380,0.280,ok
130,70.436180180,70.444582480,70.444580100,8402.300,8399.920,2.380,ok
131,70.978160610,70.986563610,,8403.000,,,missing_rx2
132,71.520093550,71.528476900,71.528497000,8383.350,8403.450,20.100,ok
133,72.062092440,72.070506060,72.070506240,8413.620,8413.800,0.180,ok
134,72.604073690,72.612491910,72.612494680,8418.220,8420.990,2.770,ok
135,73.145991640,73.154392470,73.154393300,8400.830,8401.660,0.830,ok
136,73.688002300,73.696349140,73.696352000,8346.840,8349.700,2.860,ok
137,74.229828150,74.238230160,74.238179430,8402.010,8351.280,50.730,ok
138,74.771782690,74.780186540,74.780184320,8403.850,8401.630,2.220,ok
139,75.313778990,75.322182580,75.322182680,8403.590,8403.690,0.100,ok
140,75.855751420,75.864153730,75.864151970,8402.310,8400.550,1.760,ok
141,76.397729530,,76.406135160,,8405.630,,missing_rx1
142,76.939830540,76.948240090,76.948243800,8409.550,8413.260,3.710,ok
143,77.481886340,77.490286610,77.490287140,8400.270,8400.800,0.530,ok
144,78.023848390,78.032262770,78.032261250,8414.380,8412.860,1.520,ok
145,78.565905290,78.574318570,78.574319750,8413.280,8414.460,1.180,ok
146,79.107901490,79.116305040,79.116303690,8403.550,8402.200,1.350,ok
147,79.649901950,79.658306040,79.658306980,8404.090,8405.030,0.940,ok
148,80.191959410,80.200362070,80.200360710,8402.660,8401.300,1.360,ok
149,80.733981050,80.742383570,80.742384350,8402.520,8403.300,0.780,ok
150,81.276027800,81.284429750,81.284432850,8401.950,8405.050,3.100,ok
151,81.818066960,81.826480590,81.826481300,8413.630,8414.340,0.710,ok
152,82.360114390,82.368516490,82.368519880,8402.100,8405.490,3.390,ok
153,82.902109430,82.910512600,82.910513730,8403.170,8404.300,1.130,ok
154,83.444204090,83.452603810,83.452607510,8399.720,8403.420,3.700,ok
155,83.986198770,83.994605140,83.994600920,8406.370,8402.150,4.220,ok
156,84.528212240,84.536616080,84.536614160,8403.840,8401.920,1.920,ok
157,85.070336110,85.078747190,85.078748190,8411.080,8412.080,1.000,ok
158,85.612385640,85.620787980,85.620779480,8402.340,8393.840,8.500,ok
159,86.154398680,86.162804410,86.162800450,8405.730,8401.770,3.960,ok
160,86.696487790,86.704918820,86.704898750,8431.030,8410.960,20.070,ok
161,87.238502940,87.246906520,87.246898150,8403.580,8395.210,8.370,ok
162,87.780492600,87.788897470,87.788896200,8404.870,8403.600,1.270,ok
163,88.322590250,88.331003670,88.331004870,8413.420,8414.620,1.200,ok
164,88.864599850,88.873004820,88.873001900,8404.970,8402.050,2.920,ok
165,89.406584590,89.414985790,89.414987020,8401.200,8402.430,1.230,ok
166,89.948653270,89.957056950,89.957055610,8403.680,8402.340,1.340,ok
167,90.490678210,90.499064520,90.499079430,8386.310,8401.220,14.910,ok
168,91.032711960,91.041113990,91.041112750,8402.030,8400.790,1.240,ok
169,91.574748870,91.583160360,91.583161730,8411.490,8412.860,1.370,ok
170,92.116702140,92.125106120,92.125105030,8403.980,8402.890,1.090,ok
171,92.658683740,92.667087480,92.667083500,8403.740,8399.760,3.980,ok
172,93.200799050,93.209212840,93.209212170,8413.790,8413.120,0.670,ok
173,93.742830290,93.751234640,93.751236020,8404.350,8405.730,1.380,ok
174,94.284780580,94.293224050,94.293184650,8443.470,8404.070,39.400,ok
175,94.826833840,94.835216970,94.835213400,8383.130,8379.560,3.570,ok
176,95.368809400,95.377212810,95.377211930,8403.410,8402.530,0.880,ok
177,95.910884180,95.919288550,95.919284990,8404.370,8400.810,3.560,ok
178,96.453029620,96.461374840,96.461378930,8345.220,8349.310,4.090,ok
179,96.995013880,97.003415840,97.003412220,8401.960,8398.340,3.620,ok
180,97.537057040,97.545462340,97.545461240,8405.300,8404.200,1.100,ok
181,98.079176730,98.087587680,98.087589800,8410.950,8413.070,2.120,ok
182,98.621137490,98.629539510,98.629543540,8402.020,8406.050,4.030,ok
183,99.163130350,99.171535490,99.171531980,8405.140,8401.630,3.510,ok
184,99.705197710,99.713611630,99.713610660,8413.920,8412.950,0.970,ok
185,100.247241340,100.255642600,100.255644530,8401.260,8403.190,1.930,ok
186,100.789248270,100.797648380,100.797652920,8400.110,8404.650,4.540,ok
187,101.331328290,101.339739620,101.339741470,8411.330,8413.180,1.850,ok
188,101.873297650,101.881700690,101.881699800,8403.040,8402.150,0.890,ok
189,102.415334320,102.423747020,102.423748680,8412.700,8414.360,1.660,ok
