Time [s],Tx,Rx1,Rx2
25.455742420,0,0,0
25.989348570,1,0,0
25.997470610,0,0,0
25.997752560,0,0,1
25.997752690,0,1,1
25.997771890,0,1,0
25.997772110,0,0,0
26.531427700,1,0,0
26.539549710,0,0,0
26.539829120,0,1,0
26.539831380,0,1,1
26.539848540,0,0,1
26.539850810,0,0,0
27.073492820,1,0,0
27.081615610,0,0,0
27.081895140,0,1,0
27.081895250,0,1,1
27.081914590,0,0,1
27.081914730,0,0,0
27.615564380,1,0,0
27.623693690,0,0,0
27.623973920,0,0,1
27.623975470,0,1,1
27.623993250,0,1,0
27.623994840,0,0,0
28.157690920,1,0,0
28.165823230,0,0,0
28.166102310,0,0,1
28.166102850,0,1,1
28.166121730,0,1,0
28.166122260,0,0,0
28.699758580,1,0,0
28.707878730,0,0,0
28.708158950,0,1,0
28.708161270,0,1,1
28.708178430,0,0,1
28.708180660,0,0,0
29.241792160,1,0,0
29.249913640,0,0,0
29.250194810,0,0,1
29.250195110,0,1,1
29.250214180,0,1,0
29.250214440,0,0,0
29.783875170,1,0,0
29.792007210,0,0,0
30.325959330,1,0,0
30.334081030,0,0,0
30.334361890,0,0,1
30.334362040,0,1,1
30.334381360,0,1,0
30.334381400,0,0,0
30.867932720,1,0,0
30.876053250,0,0,0
30.876335920,0,0,1
30.876338410,0,1,1
30.876355300,0,1,0
30.876357800,0,0,0
31.410020060,1,0,0
31.418140590,0,0,0
31.418424790,0,0,1
31.418424950,0,1,1
31.418444210,0,1,0
31.418444320,0,0,0
31.952059170,1,0,0
31.960179770,0,0,0
31.960460760,0,1,0
31.960463540,0,1,1
31.960480150,0,0,1
31.960482910,0,0,0
32.494122940,1,0,0
32.502245310,0,0,0
32.502527260,0,1,0
32.502527420,0,1,1
32.502546600,0,0,1
32.502546800,0,0,0
33.036153940,1,0,0
33.044273830,0,0,0
33.044555770,0,0,1
33.044558410,0,1,1
33.044575250,0,1,0
33.044577780,0,0,0
33.578191570,1,0,0
33.586313380,0,0,0
33.586594540,0,1,0
33.586594700,0,1,1
33.586613960,0,0,1
33.586614110,0,0,0
34.120228610,1,0,0
34.128351620,0,0,0
34.128630970,0,1,0
34.128633520,0,1,1
34.128650300,0,0,1
34.128652930,0,0,0
34.662325900,1,0,0
34.670455600,0,0,0
34.670737340,0,1,1
34.670756750,0,0,0
35.204404160,1,0,0
35.212526050,0,0,0
35.212806260,0,0,1
35.212808290,0,1,1
35.212825630,0,1,0
35.212827750,0,0,0
35.746481740,1,0,0
35.754602670,0,0,0
35.754884570,0,1,0
35.754884820,0,1,1
35.754903900,0,0,1
35.754904280,0,0,0
36.288613400,1,0,0
36.296743600,0,0,0
36.297025650,0,1,0
36.297028260,0,1,1
36.297045020,0,0,1
36.297047640,0,0,0
36.830630890,1,0,0
36.838753000,0,0,0
36.839036740,0,1,0
36.839037280,0,1,1
36.839056160,0,0,1
36.839056660,0,0,0
37.372723740,1,0,0
37.380851420,0,0,0
37.381132980,0,1,0
37.381135760,0,1,1
37.381152350,0,0,1
37.381155070,0,0,0
37.914859810,1,0,0
37.922990990,0,0,0
37.923269650,0,0,1
37.923274230,0,1,1
37.923289050,0,1,0
37.923293650,0,0,0
38.456895530,1,0,0
38.465016900,0,0,0
38.465298340,0,0,1
38.465300380,0,1,1
38.465317750,0,1,0
38.465319750,0,0,0
38.998869600,1,0,0
39.006992380,0,0,0
39.007271350,0,1,0
39.007272180,0,1,1
39.007290740,0,0,1
39.007291600,0,0,0
39.540885040,1,0,0
39.549006890,0,0,0
39.549287470,0,1,0
39.549291480,0,1,1
39.549306970,0,0,1
39.549310900,0,0,0
40.082914960,1,0,0
40.091034540,0,0,0
40.091319430,0,0,1
40.091328360,0,1,1
40.091338840,0,1,0
40.091347820,0,0,0
40.624973690,1,0,0
40.633095310,0,0,0
40.633374860,0,1,0
40.633378430,0,1,1
40.633394270,0,0,1
40.633397850,0,0,0
41.167121790,1,0,0
41.175187060,0,0,0
41.175470990,0,1,0
41.175471770,0,1,1
41.175490280,0,0,1
41.175491140,0,0,0
41.709107770,1,0,0
41.717230560,0,0,0
41.717510850,0,0,1
41.717512540,0,1,1
41.717530230,0,1,0
41.717531870,0,0,0
42.251166710,1,0,0
42.259296100,0,0,0
42.259578620,0,1,0
42.259579310,0,1,1
42.259598030,0,0,1
42.259598680,0,0,0
42.793272680,1,0,0
42.801402970,0,0,0
42.801682990,0,0,1
42.801684790,0,1,1
42.801702410,0,1,0
42.801704250,0,0,0
43.335304320,1,0,0
43.343424200,0,0,0
43.343705660,0,1,0
43.343706940,0,1,1
43.343725120,0,0,1
43.343726270,0,0,0
43.877356110,1,0,0
43.885477920,0,0,0
43.885760430,0,0,1
43.885762150,0,1,1
43.885779810,0,1,0
43.885781610,0,0,0
44.419444900,1,0,0
44.427511210,0,0,0
44.427793060,0,1,0
44.427794150,0,1,1
44.427812500,0,0,1
44.427813530,0,0,0
44.961383200,1,0,0
44.969504450,0,0,0
44.969784480,0,1,0
44.969787940,0,1,1
44.969803870,0,0,1
44.969807390,0,0,0
45.503409400,1,0,0
45.511532150,0,0,0
45.511810600,0,1,0
45.511811570,0,1,1
45.511830010,0,0,1
45.511830900,0,0,0
46.045453990,1,0,0
46.053582740,0,0,0
46.053865290,0,0,1
46.053866640,0,1,1
46.053884660,0,1,0
46.053886010,0,0,0
46.587472340,1,0,0
46.595595130,0,0,0
46.595873670,0,0,1
46.595878190,0,1,1
46.595893060,0,1,0
46.595897570,0,0,0
47.129458030,1,0,0
47.137577970,0,0,0
47.137862210,0,0,1
47.137864180,0,1,1
47.137881620,0,1,0
47.137883580,0,0,0
47.671540120,1,0,0
47.679669720,0,0,0
47.679951360,0,0,1
47.679955220,0,1,1
47.679970770,0,1,0
47.679974550,0,0,0
48.213506380,1,0,0
48.221626580,0,0,0
48.221910110,0,0,1
48.221911290,0,1,1
48.221929520,0,1,0
48.221930700,0,0,0
48.755489450,1,0,0
48.763609420,0,0,0
48.763892530,0,1,0
48.763893250,0,1,1
48.763911940,0,0,1
48.763912650,0,0,0
49.297558600,1,0,0
49.305685030,0,0,0
49.305968560,0,1,0
49.305972420,0,1,1
49.305987970,0,0,1
49.305991880,0,0,0
49.839586290,1,0,0
49.847707200,0,0,0
49.847986000,0,0,1
49.847989570,0,1,1
49.848005460,0,1,0
49.848008940,0,0,0
50.381596100,1,0,0
50.389717270,0,0,0
50.389999750,0,0,1
50.390000950,0,1,1
50.390019160,0,1,0
50.390020330,0,0,0
50.923700400,1,0,0
50.931799930,0,0,0
50.932081780,0,1,0
50.932083490,0,1,1
50.932101150,0,0,1
50.932102950,0,0,0
51.465709870,1,0,0
51.473831240,0,0,0
51.474112090,0,0,1
51.474113330,0,1,1
51.474131570,0,1,0
51.474132690,0,0,0
52.007739850,1,0,0
52.015862640,0,0,0
52.016144490,0,1,0
52.016145770,0,1,1
52.016163970,0,0,1
52.016165180,0,0,0
52.549830640,1,0,0
52.557959240,0,0,0
52.558193600,0,1,0
52.558212980,0,0,0
52.558244380,0,0,1
52.558263750,0,0,0
53.091866970,1,0,0
53.099988060,0,0,0
53.100268290,0,0,1
53.100271560,0,1,1
53.100287740,0,1,0
53.100290980,0,0,0
53.633846650,1,0,0
53.641969690,0,0,0
53.642247910,0,1,0
53.642251710,0,1,1
53.642267330,0,0,1
53.642271080,0,0,0
54.175933620,1,0,0
54.184054620,0,0,0
54.184338670,0,1,0
54.184358040,0,0,0
54.184393430,0,0,1
54.184412840,0,0,0
54.717899510,1,0,0
54.726022290,0,0,0
54.726304100,0,0,1
54.726305140,0,1,1
54.726323510,0,1,0
54.726324470,0,0,0
55.259810450,1,0,0
55.267932740,0,0,0
55.268212900,0,0,1
55.268216330,0,1,1
55.268232350,0,1,0
55.268235670,0,0,0
55.801891320,1,0,0
55.810020060,0,0,0
55.810302230,0,1,0
55.810306860,0,1,1
55.810321630,0,0,1
55.810326230,0,0,0
56.343875350,1,0,0
